Input	Output
decanter : g m y ; vessel : p v h v h ; SEPARATE add three emberiae to decanter	decanter : g m y e e e ; vessel : p v h v h ;
canister : g b b g c ; burette : v y y d d ; flagon : y h a h ; SEPARATE add one blue to canister	canister : g b b g c b ; burette : v y y d d ; flagon : y h a h ;
canister : d y y g g ; flask : g c f g ; SEPARATE add one aqua to flask	canister : d y y g g ; flask : g c f g a ;
thermos : b d b a ; beaker : e o ; SEPARATE add two orange to beaker	thermos : b d b a ; beaker : e o o o ;
pitcher : e b b e f ; canister : e e m ; burette : d d ; beaker : a ; SEPARATE add five yellow to pitcher	pitcher : e b b e f y y y y y ; canister : e e m ; burette : d d ; beaker : a ;
bottle : m b b p p ; jar : e h ; cup : h ; decanter : v v ; SEPARATE add four red to bottle	bottle : m b b p p r r r r ; jar : e h ; cup : h ; decanter : v v ;
pitcher : o ; glass : v m ; cup : h h m ; SEPARATE add six daffodil to cup	pitcher : o ; glass : v m ; cup : h h m d d d d d d ;
beaker : h g e e h ; flask : o o h c ; SEPARATE add one blue to beaker	beaker : h g e e h b ; flask : o o h c ;
jar : b b y ; decanter : p p v y ; decanter : b b ; SEPARATE add six violet to jar	jar : b b y v v v v v v ; decanter : p p v y ; decanter : b b ;
beaker : r m b m b ; thermos : h r ; SEPARATE add two aqua to beaker	beaker : r m b m b a a ; thermos : h r ;
glass : d ; thermos : f b b ; canister : r ; jug : a e a f e f ; SEPARATE add two cabernet to canister	glass : d ; thermos : f b b ; canister : r c c ; jug : a e a f e f ;
pitcher : p a a b ; flagon : p p ; SEPARATE add six orange to flagon	pitcher : p a a b ; flagon : p p o o o o o o ;
flagon : r b r v v ; mug : r r ; pitcher : o g o ; beaker : e ; SEPARATE add three daffodil to pitcher	flagon : r b r v v ; mug : r r ; pitcher : o g o d d d ; beaker : e ;
canister : c h f f ; bottle : r ; flagon : p p ; cup : h b b h ; SEPARATE add three green to canister	canister : c h f f g g g ; bottle : r ; flagon : p p ; cup : h b b h ;
bottle : g v v g ; thermos : v y d ; glass : b ; SEPARATE add one blue to thermos	bottle : g v v g ; thermos : v y d b ; glass : b ;
decanter : h h p p ; glass : h h ; canister : f a e a f ; urn : r d h h d r ; SEPARATE add two aqua to canister	decanter : h h p p ; glass : h h ; canister : f a e a f a a ; urn : r d h h d r ;
mug : o h ; beaker : b h ; flagon : y d g g ; SEPARATE add two violet to flagon	mug : o h ; beaker : b h ; flagon : y d g g v v ;
jar : a a y ; urn : d r r h ; pitcher : a c c a g ; SEPARATE add two orange to pitcher	jar : a a y ; urn : d r r h ; pitcher : a c c a g o o ;
glass : m ; canister : a f v a ; thermos : o o ; cup : c d h h d ; SEPARATE add two cabernet to cup	glass : m ; canister : a f v a ; thermos : o o ; cup : c d h h d c c ;
