Input	Output
thermos : v v ; burette : a a ; mug : b d ; flagon : f f ; SEPARATE unmix mug	thermos : v v ; burette : a a ; mug : b ; mug : d ; flagon : f f ;
vessel : y g g d ; burette : g h h ; urn : r v p r p v ; thermos : e e ; SEPARATE unmix urn	vessel : y g g d ; burette : g h h ; urn : r r ; urn : v v ; urn : p p ; thermos : e e ;
vessel : y a y a ; mug : h d h c d ; SEPARATE unmix vessel	vessel : y y ; vessel : a a ; mug : h d h c d ;
jug : p p m ; jar : m d d ; pitcher : p p ; jug : g f o ; SEPARATE unmix jar	jug : p p m ; jar : m ; jar : d d ; pitcher : p p ; jug : g f o ;
decanter : r ; bottle : g v a v ; vessel : p r r ; jug : f b f p ; SEPARATE unmix bottle	decanter : r ; bottle : g ; bottle : v v ; bottle : a ; vessel : p r r ; jug : f b f p ;
jar : y v m v m ; decanter : m f v ; SEPARATE unmix jar	jar : y ; jar : v v ; jar : m m ; decanter : m f v ;
flask : g c g f f ; flagon : p o o a ; vessel : h h b p p ; SEPARATE unmix vessel	flask : g c g f f ; flagon : p o o a ; vessel : h h ; vessel : b ; vessel : p p ;
pitcher : m d y y ; beaker : o ; vessel : v g v ; jar : h b c c h ; SEPARATE unmix jar	pitcher : m d y y ; beaker : o ; vessel : v g v ; jar : h h ; jar : b ; jar : c c ;
canister : g ; canister : p c p y c ; pitcher : e c e d d ; SEPARATE unmix first canister	canister : g ; canister : p c p y c ; pitcher : e c e d d ;
jar : f f ; mug : o c b c ; cup : a a ; SEPARATE unmix cup	jar : f f ; mug : o c b c ; cup : a a ;
cup : f f ; mug : o ; SEPARATE unmix cup	cup : f f ; mug : o ;
decanter : d ; urn : o o v f ; SEPARATE unmix decanter	decanter : d ; urn : o o v f ;
urn : m m ; canister : p g y y ; canister : o e ; glass : r d ; SEPARATE unmix first canister	urn : m m ; canister : p ; canister : g ; canister : y y ; canister : o e ; glass : r d ;
thermos : e e ; cup : d m e e m ; thermos : a c a ; SEPARATE unmix second thermos	thermos : e e ; cup : d m e e m ; thermos : a a ; thermos : c ;
pitcher : g o a ; jug : r e a ; SEPARATE unmix jug	pitcher : g o a ; jug : r ; jug : e ; jug : a ;
urn : p b b ; jar : o y m y ; cup : m c c ; SEPARATE unmix jar	urn : p b b ; jar : o ; jar : y y ; jar : m ; cup : m c c ;
urn : r y h ; bottle : f a m ; bottle : m b a m b ; flask : r v f f ; SEPARATE unmix urn	urn : r ; urn : y ; urn : h ; bottle : f a m ; bottle : m b a m b ; flask : r v f f ;
jug : b ; burette : v g d ; SEPARATE unmix jug	jug : b ; burette : v g d ;
thermos : p ; bottle : a ; cup : r g r ; flagon : c o y c o ; SEPARATE unmix cup	thermos : p ; bottle : a ; cup : r r ; cup : g ; flagon : c o y c o ;
glass : e e ; flagon : a a ; thermos : b y b y r ; SEPARATE unmix flagon	glass : e e ; flagon : a a ; thermos : b y b y r ;
thermos : g ; jug : h m b ; cup : e b ; SEPARATE unmix cup	thermos : g ; jug : h m b ; cup : e ; cup : b ;
urn : y ; flask : o o a ; glass : p p ; decanter : e e o ; SEPARATE unmix decanter	urn : y ; flask : o o a ; glass : p p ; decanter : e e ; decanter : o ;
cup : o v o v ; burette : v ; mug : r r ; SEPARATE unmix burette	cup : o v o v ; burette : v ; mug : r r ;
jar : v ; bottle : v y v y ; pitcher : o g r ; SEPARATE unmix pitcher	jar : v ; bottle : v y v y ; pitcher : o ; pitcher : g ; pitcher : r ;
burette : y f y ; urn : o a a o ; pitcher : p p ; urn : e e r r p ; SEPARATE unmix burette	burette : y y ; burette : f ; urn : o a a o ; pitcher : p p ; urn : e e r r p ;
jug : f y b b y ; vessel : h y h y ; jar : y y ; SEPARATE unmix jar	jug : f y b b y ; vessel : h y h y ; jar : y y ;
decanter : b a ; jug : p ; canister : c g g v ; flagon : g b g ; SEPARATE unmix decanter	decanter : b ; decanter : a ; jug : p ; canister : c g g v ; flagon : g b g ;
vessel : p p c ; jug : d ; flagon : y h a a y ; SEPARATE unmix jug	vessel : p p c ; jug : d ; flagon : y h a a y ;
jug : o ; burette : e b e h ; burette : o o a h a h ; burette : a v ; SEPARATE unmix third burette	jug : o ; burette : e b e h ; burette : o o a h a h ; burette : a ; burette : v ;
burette : h h d y ; jug : m r p r m p ; pitcher : h b ; beaker : r o o ; SEPARATE unmix jug	burette : h h d y ; jug : m m ; jug : r r ; jug : p p ; pitcher : h b ; beaker : r o o ;
pitcher : a e a ; decanter : g p g h p ; glass : h h f ; jar : d d ; SEPARATE unmix pitcher	pitcher : a a ; pitcher : e ; decanter : g p g h p ; glass : h h f ; jar : d d ;
beaker : g c g ; burette : v v ; SEPARATE unmix beaker	beaker : g g ; beaker : c ; burette : v v ;
mug : r r b b ; thermos : a a y y ; pitcher : y b ; SEPARATE unmix pitcher	mug : r r b b ; thermos : a a y y ; pitcher : y ; pitcher : b ;
bottle : p ; jar : r r ; beaker : f e e ; SEPARATE unmix bottle	bottle : p ; jar : r r ; beaker : f e e ;
mug : m d g g ; cup : r r m m ; glass : m d m d y ; mug : c d c ; SEPARATE unmix first mug	mug : m ; mug : d ; mug : g g ; cup : r r m m ; glass : m d m d y ; mug : c d c ;
cup : h h ; glass : r f r ; jug : g g ; SEPARATE unmix jug	cup : h h ; glass : r f r ; jug : g g ;
pitcher : a b a g b g ; cup : o a a e o e ; flagon : f v r ; SEPARATE unmix flagon	pitcher : a b a g b g ; cup : o a a e o e ; flagon : f ; flagon : v ; flagon : r ;
canister : f ; flask : f ; SEPARATE unmix canister	canister : f ; flask : f ;
thermos : o y g ; bottle : e e v v m ; decanter : v ; SEPARATE unmix thermos	thermos : o ; thermos : y ; thermos : g ; bottle : e e v v m ; decanter : v ;
canister : a y y e a ; flask : g m g ; burette : o d m o m ; SEPARATE unmix flask	canister : a y y e a ; flask : g g ; flask : m ; burette : o d m o m ;
jar : p o p ; glass : g b ; jug : g ; SEPARATE unmix glass	jar : p o p ; glass : g ; glass : b ; jug : g ;
canister : v y v ; beaker : p d d ; burette : e g o ; SEPARATE unmix beaker	canister : v y v ; beaker : p ; beaker : d d ; burette : e g o ;
flask : c d f ; beaker : d d c p ; flagon : v f f ; SEPARATE unmix beaker	flask : c d f ; beaker : d d ; beaker : c ; beaker : p ; flagon : v f f ;
jar : m m ; flask : a v v ; bottle : y h h ; beaker : p o o ; SEPARATE unmix beaker	jar : m m ; flask : a v v ; bottle : y h h ; beaker : p ; beaker : o o ;
mug : y v v ; glass : h h g y ; flask : h h g p g ; SEPARATE unmix flask	mug : y v v ; glass : h h g y ; flask : h h ; flask : g g ; flask : p ;
beaker : o y ; mug : b p b p ; thermos : d ; SEPARATE unmix beaker	beaker : o ; beaker : y ; mug : b p b p ; thermos : d ;
cup : g ; jug : m m ; thermos : g e ; burette : p r r p ; SEPARATE unmix thermos	cup : g ; jug : m m ; thermos : g ; thermos : e ; burette : p r r p ;
thermos : p v v ; thermos : v ; urn : v y y o o ; SEPARATE unmix last thermos	thermos : p v v ; thermos : v ; urn : v y y o o ;
flagon : m ; canister : g g ; SEPARATE unmix canister	flagon : m ; canister : g g ;
cup : c c ; thermos : o ; burette : f f v p ; flask : y m m y ; SEPARATE unmix burette	cup : c c ; thermos : o ; burette : f f ; burette : v ; burette : p ; flask : y m m y ;
cup : m b b ; thermos : e ; beaker : m p y ; pitcher : g r g p p ; SEPARATE unmix beaker	cup : m b b ; thermos : e ; beaker : m ; beaker : p ; beaker : y ; pitcher : g r g p p ;
thermos : e e c h h c ; mug : h y y ; pitcher : b m v v b ; SEPARATE unmix mug	thermos : e e c h h c ; mug : h ; mug : y y ; pitcher : b m v v b ;
mug : d ; flagon : o h ; thermos : p a ; thermos : r r ; SEPARATE unmix mug	mug : d ; flagon : o h ; thermos : p a ; thermos : r r ;
canister : d y g d y ; urn : m y v m ; flask : a a h ; jar : o g g a a o ; SEPARATE unmix canister	canister : d d ; canister : y y ; canister : g ; urn : m y v m ; flask : a a h ; jar : o g g a a o ;
beaker : h c o c ; mug : o c o ; canister : y y ; SEPARATE unmix canister	beaker : h c o c ; mug : o c o ; canister : y y ;
cup : v c m v c m ; pitcher : c ; SEPARATE unmix cup	cup : v v ; cup : c c ; cup : m m ; pitcher : c ;
glass : c d ; glass : b f v f v ; decanter : o ; SEPARATE unmix second glass	glass : c d ; glass : b ; glass : f f ; glass : v v ; decanter : o ;
vessel : b p d ; beaker : f d d f ; decanter : a a h p p ; SEPARATE unmix decanter	vessel : b p d ; beaker : f d d f ; decanter : a a ; decanter : h ; decanter : p p ;
beaker : b a y a ; pitcher : m m ; pitcher : y p p h ; SEPARATE unmix first pitcher	beaker : b a y a ; pitcher : m m ; pitcher : y p p h ;
mug : m m y ; urn : f y p ; pitcher : o o ; SEPARATE unmix urn	mug : m m y ; urn : f ; urn : y ; urn : p ; pitcher : o o ;
vessel : h h ; cup : m m ; SEPARATE unmix vessel	vessel : h h ; cup : m m ;
