Input	Output
burette : g e g v v ; urn : h r p r ; SEPARATE unmix urn	burette : g e g v v ; urn : h ; urn : r r ; urn : p ;
beaker : o r e ; flask : g o ; jug : c ; beaker : c ; SEPARATE unmix jug	beaker : o r e ; flask : g o ; jug : c ; beaker : c ;
pitcher : r d m d r ; bottle : p f a f a p ; SEPARATE unmix bottle	pitcher : r d m d r ; bottle : p p ; bottle : f f ; bottle : a a ;
glass : f f v v ; flask : f f d m ; SEPARATE unmix glass	glass : f f ; glass : v v ; flask : f f d m ;
urn : g g c m m ; flask : g ; SEPARATE unmix flask	urn : g g c m m ; flask : g ;
thermos : d y y b b ; urn : h ; SEPARATE unmix thermos	thermos : d ; thermos : y y ; thermos : b b ; urn : h ;
cup : p y v v ; mug : f f a ; burette : p o f o f ; SEPARATE unmix cup	cup : p ; cup : y ; cup : v v ; mug : f f a ; burette : p o f o f ;
vessel : y g ; jug : f f ; urn : r r e ; SEPARATE unmix jug	vessel : y g ; jug : f f ; urn : r r e ;
flask : a a ; flask : b b ; decanter : d b d ; SEPARATE unmix first flask	flask : a a ; flask : b b ; decanter : d b d ;
jug : f f e b ; thermos : c c y y ; SEPARATE unmix jug	jug : f f ; jug : e ; jug : b ; thermos : c c y y ;
jug : v m m v h ; flagon : e b ; SEPARATE unmix flagon	jug : v m m v h ; flagon : e ; flagon : b ;
urn : f a ; flask : c a ; jar : f c a ; SEPARATE unmix urn	urn : f ; urn : a ; flask : c a ; jar : f c a ;
decanter : a a ; vessel : m c ; SEPARATE unmix decanter	decanter : a a ; vessel : m c ;
bottle : d g d e e ; mug : y g g ; SEPARATE unmix mug	bottle : d g d e e ; mug : y ; mug : g g ;
mug : f f ; burette : m e e m ; urn : v h h v ; SEPARATE unmix mug	mug : f f ; burette : m e e m ; urn : v h h v ;
mug : b b ; pitcher : b e o b e o ; SEPARATE unmix pitcher	mug : b b ; pitcher : b b ; pitcher : e e ; pitcher : o o ;
flask : g o o ; glass : m r m r p ; SEPARATE unmix flask	flask : g ; flask : o o ; glass : m r m r p ;
