Input	Output
decanter : m h c h ; jug : a b g b a ; SEPARATE add six daffodil to jug	decanter : m h c h ; jug : a b g b a d d d d d d ;
mug : v p p v b ; mug : e e f ; cup : r f f r ; SEPARATE add one daffodil to first mug	mug : v p p v b d ; mug : e e f ; cup : r f f r ;
burette : f f ; urn : o ; jar : a a ; canister : b b c c ; SEPARATE add five cabernet to jar	burette : f f ; urn : o ; jar : a a c c c c c ; canister : b b c c ;
canister : d a a d c ; bottle : h y g ; thermos : v ; flagon : o ; SEPARATE add one violet to bottle	canister : d a a d c ; bottle : h y g v ; thermos : v ; flagon : o ;
flagon : g r ; urn : r r ; SEPARATE add two green to flagon	flagon : g r g g ; urn : r r ;
jug : o o b e ; flask : b g g p p ; jar : h ; SEPARATE add three yellow to jug	jug : o o b e y y y ; flask : b g g p p ; jar : h ;
glass : h a a m m ; flagon : g ; vessel : p h p y h y ; burette : b b ; SEPARATE add five red to vessel	glass : h a a m m ; flagon : g ; vessel : p h p y h y r r r r r ; burette : b b ;
thermos : g y y ; urn : f d d f ; pitcher : y m y b b ; thermos : y d o o y ; SEPARATE add three purple to pitcher	thermos : g y y ; urn : f d d f ; pitcher : y m y b b p p p ; thermos : y d o o y ;
jar : b b m ; flask : y o a o ; beaker : g g a ; SEPARATE add one fuchsia to jar	jar : b b m f ; flask : y o a o ; beaker : g g a ;
jug : p m ; canister : f d ; SEPARATE add two fuchsia to jug	jug : p m f f ; canister : f d ;
urn : d d ; mug : g g e v ; jar : y d y ; SEPARATE add six aqua to mug	urn : d d ; mug : g g e v a a a a a a ; jar : y d y ;
beaker : c m c d d ; flask : m m ; mug : y r ; SEPARATE add two magenta to flask	beaker : c m c d d ; flask : m m m m ; mug : y r ;
jar : o f ; bottle : d c e d ; glass : y c y ; urn : h f f b ; SEPARATE add five green to jar	jar : o f g g g g g ; bottle : d c e d ; glass : y c y ; urn : h f f b ;
mug : g d d a ; flagon : m m r c ; cup : y v v c y c ; SEPARATE add one blue to cup	mug : g d d a ; flagon : m m r c ; cup : y v v c y c b ;
flask : f a a f b ; jar : f f a r r a ; mug : h c e ; thermos : p p g ; SEPARATE add two magenta to jar	flask : f a a f b ; jar : f f a r r a m m ; mug : h c e ; thermos : p p g ;
bottle : d ; beaker : m m ; mug : o p ; SEPARATE add three harlequin to mug	bottle : d ; beaker : m m ; mug : o p h h h ;
jug : d e o d ; urn : c m m ; jar : d d e e y ; pitcher : d o d o ; SEPARATE add five cabernet to jug	jug : d e o d c c c c c ; urn : c m m ; jar : d d e e y ; pitcher : d o d o ;
pitcher : y y c ; glass : o o ; thermos : v d b v d b ; flagon : c p p d c d ; SEPARATE add five cabernet to pitcher	pitcher : y y c c c c c c ; glass : o o ; thermos : v d b v d b ; flagon : c p p d c d ;
thermos : g ; flask : b b v ; thermos : g v v g ; flask : v ; SEPARATE add four purple to first flask	thermos : g ; flask : b b v p p p p ; thermos : g v v g ; flask : v ;
glass : p p ; glass : p ; SEPARATE add one orange to last glass	glass : p p ; glass : p o ;
decanter : m o ; burette : h e r ; thermos : c d m m d ; vessel : m m ; SEPARATE add five blue to burette	decanter : m o ; burette : h e r b b b b b ; thermos : c d m m d ; vessel : m m ;
vessel : p p d y y ; mug : e p ; bottle : e a v v ; SEPARATE add two green to vessel	vessel : p p d y y g g ; mug : e p ; bottle : e a v v ;
vessel : c o o m ; glass : d o o r ; mug : f m f b b m ; SEPARATE add two orange to glass	vessel : c o o m ; glass : d o o r o o ; mug : f m f b b m ;
cup : f r ; pitcher : o e f o ; urn : f ; SEPARATE add one blue to pitcher	cup : f r ; pitcher : o e f o b ; urn : f ;
burette : f ; beaker : d y ; thermos : o y e e y o ; jar : r r m m f ; SEPARATE add three magenta to beaker	burette : f ; beaker : d y m m m ; thermos : o y e e y o ; jar : r r m m f ;
flask : b ; mug : o b ; SEPARATE add four cabernet to flask	flask : b c c c c ; mug : o b ;
mug : d h f f ; glass : v f f ; glass : d d ; jug : b ; SEPARATE add four harlequin to mug	mug : d h f f h h h h ; glass : v f f ; glass : d d ; jug : b ;
flagon : o o ; flask : r ; flagon : f m m g ; SEPARATE add one yellow to last flagon	flagon : o o ; flask : r ; flagon : f m m g y ;
jar : h ; bottle : h v h e ; urn : f p b f ; cup : v ; SEPARATE add three green to jar	jar : h g g g ; bottle : h v h e ; urn : f p b f ; cup : v ;
canister : b e v ; flask : b b ; jar : y y r d ; flask : y b b p y ; SEPARATE add three blue to canister	canister : b e v b b b ; flask : b b ; jar : y y r d ; flask : y b b p y ;
flagon : h ; urn : b ; bottle : m p p m ; SEPARATE add six fuchsia to flagon	flagon : h f f f f f f ; urn : b ; bottle : m p p m ;
glass : o h v h v ; flask : r v v r y ; SEPARATE add four daffodil to flask	glass : o h v h v ; flask : r v v r y d d d d ;
