Input	Output
vessel : a h h d ; burette : o c o c ; flagon : f f c c ; SEPARATE destroy burette	vessel : a h h d ; flagon : f f c c ;
beaker : d m m ; pitcher : o c a a o ; thermos : h g c g c h ; SEPARATE destroy thermos	beaker : d m m ; pitcher : o c a a o ;
mug : v v ; flagon : d d r e ; SEPARATE destroy mug	flagon : d d r e ;
burette : a ; jar : r r ; glass : d o ; jar : p o o ; SEPARATE destroy burette	jar : r r ; glass : d o ; jar : p o o ;
decanter : y y ; urn : m m a ; beaker : e p ; burette : m m d ; SEPARATE destroy burette	decanter : y y ; urn : m m a ; beaker : e p ;
beaker : v a a ; bottle : c f f o ; flask : p p ; SEPARATE destroy flask	beaker : v a a ; bottle : c f f o ;
jug : e e ; jar : m m ; mug : a p ; SEPARATE destroy jug	jar : m m ; mug : a p ;
flask : f y h h f ; flagon : y y ; thermos : e ; SEPARATE destroy flask	flagon : y y ; thermos : e ;
cup : a a r b ; jar : r b r p p ; decanter : e e ; SEPARATE destroy jar	cup : a a r b ; decanter : e e ;
burette : v v ; glass : e r r c e ; cup : p p ; SEPARATE destroy cup	burette : v v ; glass : e r r c e ;
bottle : h p p ; thermos : a b ; pitcher : y y ; SEPARATE destroy thermos	bottle : h p p ; pitcher : y y ;
jar : p v d ; flagon : v v ; beaker : b c c g g b ; vessel : b ; SEPARATE destroy beaker	jar : p v d ; flagon : v v ; vessel : b ;
vessel : e f m f e ; flask : p ; SEPARATE destroy vessel	flask : p ;
mug : m m ; flagon : f f ; jug : f f p b p ; SEPARATE destroy flagon	mug : m m ; jug : f f p b p ;
bottle : y y ; bottle : a a ; flask : g c g m ; SEPARATE destroy last bottle	bottle : y y ; flask : g c g m ;
flagon : a a r g ; jar : y e e y ; urn : d ; urn : d f e ; SEPARATE destroy jar	flagon : a a r g ; urn : d ; urn : d f e ;
urn : f a h a f ; decanter : m m h c h ; SEPARATE destroy urn	decanter : m m h c h ;
jar : r ; decanter : b y e b e ; SEPARATE destroy jar	decanter : b y e b e ;
jug : a a ; flask : e c e ; decanter : c b a a ; beaker : o b ; SEPARATE destroy beaker	jug : a a ; flask : e c e ; decanter : c b a a ;
flask : a a p ; urn : p a c p ; canister : m y e e ; SEPARATE destroy flask	urn : p a c p ; canister : m y e e ;
bottle : r h ; mug : v m m v ; cup : g a ; SEPARATE destroy mug	bottle : r h ; cup : g a ;
beaker : f f d r d r ; jar : e a e ; SEPARATE destroy beaker	jar : e a e ;
flask : o o m ; flask : r r p p o o ; burette : e o y ; thermos : v c v ; SEPARATE destroy last flask	flask : o o m ; burette : e o y ; thermos : v c v ;
jar : a v b b ; cup : r f ; burette : v v p o ; vessel : g g ; SEPARATE destroy cup	jar : a v b b ; burette : v v p o ; vessel : g g ;
thermos : m ; bottle : r h r h ; SEPARATE destroy bottle	thermos : m ;
pitcher : m ; urn : r f r f ; thermos : g e d e ; SEPARATE destroy urn	pitcher : m ; thermos : g e d e ;
pitcher : o b e e o ; glass : m h m o h ; flagon : o o b ; SEPARATE destroy glass	pitcher : o b e e o ; flagon : o o b ;
jug : v v ; burette : o o ; pitcher : v g ; beaker : v ; SEPARATE destroy beaker	jug : v v ; burette : o o ; pitcher : v g ;
mug : h ; urn : d ; canister : h h ; SEPARATE destroy mug	urn : d ; canister : h h ;
