Input	Output
glass : y p y p ; flagon : a e b a e b ; flagon : d d c ; canister : f e m e m ; SEPARATE create flask	glass : y p y p ; flagon : a e b a e b ; flagon : d d c ; canister : f e m e m ; flask : _ ;
decanter : c ; decanter : p ; SEPARATE destroy last decanter	decanter : c ;
beaker : b d b ; bottle : o f o ; glass : v ; SEPARATE shift bottle after glass	beaker : b d b ; glass : v ; bottle : o f o ;
decanter : m m ; bottle : r r ; SEPARATE double decanter	decanter : m m m m ; bottle : r r ;
jug : f c y y ; pitcher : a v a ; SEPARATE shift pitcher after jug	jug : f c y y ; pitcher : a v a ;
cup : v a a ; burette : v v ; jug : h h c v v ; SEPARATE shift cup after jug	burette : v v ; jug : h h c v v ; cup : v a a ;
burette : v v ; jug : a a v g ; burette : r a d ; SEPARATE empty first burette	burette : _ ; jug : a a v g ; burette : r a d ;
glass : r r d ; canister : g b a ; jug : f r f ; thermos : r r ; SEPARATE add six aqua to glass	glass : r r d a a a a a a ; canister : g b a ; jug : f r f ; thermos : r r ;
jug : c c ; glass : f o ; SEPARATE destroy jug	glass : f o ;
glass : d a ; decanter : g m v ; pitcher : c y c f ; SEPARATE destroy decanter	glass : d a ; pitcher : c y c f ;
bottle : o b ; mug : v v ; SEPARATE destroy mug	bottle : o b ;
pitcher : c f m m c f ; glass : g e o o ; mug : y h y ; SEPARATE empty pitcher	pitcher : _ ; glass : g e o o ; mug : y h y ;
flask : d m m ; jar : o ; SEPARATE shift jar before flask	jar : o ; flask : d m m ;
flask : a p ; jug : g c ; urn : o p ; thermos : a ; SEPARATE filter flask	flask : a p ; jug : g c ; urn : o p ; thermos : a ;
cup : r a a r ; beaker : e ; SEPARATE double cup	cup : r a a r r a a r ; beaker : e ;
vessel : o o ; canister : h d v v d ; glass : m a p p m ; flask : r r o ; SEPARATE create glass	vessel : o o ; canister : h d v v d ; glass : m a p p m ; flask : r r o ; glass : _ ;
bottle : e e f f ; flagon : d d ; SEPARATE filter bottle	bottle : e e f f ; flagon : d d ;
bottle : y ; glass : o o m ; SEPARATE add three harlequin to bottle	bottle : y h h h ; glass : o o m ;
bottle : d d ; mug : m ; SEPARATE destroy bottle	mug : m ;
decanter : d b ; urn : o c r r c ; SEPARATE destroy urn	decanter : d b ;
glass : c c p ; vessel : c r ; SEPARATE shift vessel after glass	glass : c c p ; vessel : c r ;
jug : b b f f ; flask : v ; cup : g p g ; SEPARATE add four red to flask	jug : b b f f ; flask : v r r r r ; cup : g p g ;
mug : a g b b ; pitcher : y y ; SEPARATE double mug	mug : a g b b a g b b ; pitcher : y y ;
pitcher : f ; mug : h ; SEPARATE add two magenta to mug	pitcher : f ; mug : h m m ;
