Input	Output
burette : p f p f ; flagon : o h h ; SEPARATE add two yellow to flagon	burette : p f p f ; flagon : o h h y y ;
jug : b ; decanter : y y ; bottle : p p ; SEPARATE add two magenta to jug	jug : b m m ; decanter : y y ; bottle : p p ;
thermos : m h ; mug : c y ; beaker : y v y ; SEPARATE add one harlequin to beaker	thermos : m h ; mug : c y ; beaker : y v y h ;
flask : v v ; beaker : o e ; bottle : m g g ; SEPARATE add five green to flask	flask : v v g g g g g ; beaker : o e ; bottle : m g g ;
jug : d d ; pitcher : b f a b ; SEPARATE add three purple to pitcher	jug : d d ; pitcher : b f a b p p p ;
bottle : d d r y ; jug : e e p ; pitcher : b ; SEPARATE add five green to pitcher	bottle : d d r y ; jug : e e p ; pitcher : b g g g g g ;
thermos : m ; vessel : r r ; SEPARATE add four emberiae to vessel	thermos : m ; vessel : r r e e e e ;
bottle : m m ; urn : m v v m r ; thermos : f f ; cup : c c f ; SEPARATE add five magenta to urn	bottle : m m ; urn : m v v m r m m m m m ; thermos : f f ; cup : c c f ;
canister : h o o g h ; canister : e e ; vessel : v f ; SEPARATE add two aqua to second canister	canister : h o o g h ; canister : e e a a ; vessel : v f ;
flagon : h h ; jar : m m ; burette : r y v y ; SEPARATE add two red to jar	flagon : h h ; jar : m m r r ; burette : r y v y ;
canister : d b v b ; flask : a o g ; SEPARATE add three magenta to canister	canister : d b v b m m m ; flask : a o g ;
burette : e d m m d ; mug : h b h b ; jar : v o o ; SEPARATE add five violet to jar	burette : e d m m d ; mug : h b h b ; jar : v o o v v v v v ;
bottle : b v ; canister : m f f v m ; SEPARATE add three blue to canister	bottle : b v ; canister : m f f v m b b b ;
flask : h b y ; flagon : v m m a a ; jar : g ; vessel : y b v b v ; SEPARATE add one harlequin to flask	flask : h b y h ; flagon : v m m a a ; jar : g ; vessel : y b v b v ;
decanter : c e ; flagon : r p p ; SEPARATE add three fuchsia to decanter	decanter : c e f f f ; flagon : r p p ;
glass : f m f ; pitcher : m g m ; beaker : r e ; jug : a a ; SEPARATE add four blue to beaker	glass : f m f ; pitcher : m g m ; beaker : r e b b b b ; jug : a a ;
mug : o o ; urn : a p ; glass : h b r ; SEPARATE add six yellow to mug	mug : o o y y y y y y ; urn : a p ; glass : h b r ;
mug : o o d p ; beaker : h h c p p ; mug : y o o ; SEPARATE add four red to first mug	mug : o o d p r r r r ; beaker : h h c p p ; mug : y o o ;
mug : c c b ; jug : f g ; vessel : d d ; thermos : v g g v e ; SEPARATE add four red to mug	mug : c c b r r r r ; jug : f g ; vessel : d d ; thermos : v g g v e ;
jug : v p y v y ; glass : r ; pitcher : e b e ; SEPARATE add six blue to glass	jug : v p y v y ; glass : r b b b b b b ; pitcher : e b e ;
decanter : h ; flask : b b ; flagon : m f p m p ; burette : r o o ; SEPARATE add six harlequin to flask	decanter : h ; flask : b b h h h h h h ; flagon : m f p m p ; burette : r o o ;
jar : f ; jug : p c b c ; SEPARATE add three blue to jug	jar : f ; jug : p c b c b b b ;
thermos : c p g c g ; mug : r a a r f ; SEPARATE add six daffodil to mug	thermos : c p g c g ; mug : r a a r f d d d d d d ;
flask : v ; canister : h a ; jar : v g v g ; flagon : g g v ; SEPARATE add four red to canister	flask : v ; canister : h a r r r r ; jar : v g v g ; flagon : g g v ;
pitcher : d ; glass : a a c ; flagon : h h g m m ; SEPARATE add three aqua to glass	pitcher : d ; glass : a a c a a a ; flagon : h h g m m ;
burette : a o f o a ; bottle : p ; beaker : r v r a ; SEPARATE add four harlequin to bottle	burette : a o f o a ; bottle : p h h h h ; beaker : r v r a ;
vessel : o e e ; mug : g m m r r g ; flask : g g ; SEPARATE add two harlequin to vessel	vessel : o e e h h ; mug : g m m r r g ; flask : g g ;
pitcher : e h h ; canister : a a g g ; flask : g g ; jug : v f ; SEPARATE add one harlequin to flask	pitcher : e h h ; canister : a a g g ; flask : g g h ; jug : v f ;
mug : v v ; jug : o o v v f ; burette : a a d r d ; glass : r p p ; SEPARATE add three emberiae to burette	mug : v v ; jug : o o v v f ; burette : a a d r d e e e ; glass : r p p ;
mug : b g d d b ; beaker : p p o ; jar : p y y ; urn : y b y m b ; SEPARATE add four fuchsia to urn	mug : b g d d b ; beaker : p p o ; jar : p y y ; urn : y b y m b f f f f ;
glass : r r d ; canister : g b a ; jug : f r f ; thermos : r r ; SEPARATE add six aqua to glass	glass : r r d a a a a a a ; canister : g b a ; jug : f r f ; thermos : r r ;
glass : f f o b ; flask : p o y p ; SEPARATE add one harlequin to glass	glass : f f o b h ; flask : p o y p ;
glass : f g d f d ; flagon : v v ; thermos : r h h ; canister : a ; SEPARATE add three harlequin to canister	glass : f g d f d ; flagon : v v ; thermos : r h h ; canister : a h h h ;
beaker : p f ; cup : c ; SEPARATE add two fuchsia to cup	beaker : p f ; cup : c f f ;
urn : b ; bottle : r d y d ; SEPARATE add five orange to urn	urn : b o o o o o ; bottle : r d y d ;
beaker : h y ; pitcher : m m ; mug : r r m m ; SEPARATE add two emberiae to mug	beaker : h y ; pitcher : m m ; mug : r r m m e e ;
urn : e y v e y ; glass : b a o ; thermos : c d c d ; SEPARATE add two emberiae to glass	urn : e y v e y ; glass : b a o e e ; thermos : c d c d ;
jar : g d ; vessel : h c r r ; jar : a a c c ; thermos : y y ; SEPARATE add three violet to vessel	jar : g d ; vessel : h c r r v v v ; jar : a a c c ; thermos : y y ;
