Input	Output
burette : b r p ; canister : f m ; pitcher : f g g d f ; SEPARATE empty burette	burette : _ ; canister : f m ; pitcher : f g g d f ;
decanter : p ; thermos : c e b ; urn : m g f g ; canister : o o ; SEPARATE shift urn after thermos	decanter : p ; thermos : c e b ; urn : m g f g ; canister : o o ;
vessel : b e r e ; burette : p p ; glass : e e f f r ; SEPARATE double burette	vessel : b e r e ; burette : p p p p ; glass : e e f f r ;
mug : c o ; mug : r f e f ; glass : r r a ; SEPARATE double glass	mug : c o ; mug : r f e f ; glass : r r a r r a ;
beaker : a o ; canister : o p p ; vessel : d d f g f ; SEPARATE empty beaker	beaker : _ ; canister : o p p ; vessel : d d f g f ;
flask : a ; mug : g d g ; flagon : o o y y ; burette : g e e g y ; SEPARATE filter burette	flask : a ; mug : g d g ; flagon : o o y y ; burette : g g e e y ;
urn : a ; beaker : h h m r r ; decanter : g m o g ; urn : e e v ; SEPARATE empty beaker	urn : a ; beaker : _ ; decanter : g m o g ; urn : e e v ;
vessel : v p p v ; mug : b e m e ; cup : o o ; SEPARATE empty vessel	vessel : _ ; mug : b e m e ; cup : o o ;
burette : r a r g g ; flagon : y g y g h ; burette : r o o y ; SEPARATE empty flagon	burette : r a r g g ; flagon : _ ; burette : r o o y ;
mug : m p e ; bottle : o b o b ; thermos : c c ; SEPARATE empty bottle	mug : m p e ; bottle : _ ; thermos : c c ;
canister : y p y ; vessel : c c b b e e ; bottle : e e ; SEPARATE empty vessel	canister : y p y ; vessel : _ ; bottle : e e ;
flask : b b c o o c ; bottle : g a b a ; urn : p b b p ; SEPARATE empty flask	flask : _ ; bottle : g a b a ; urn : p b b p ;
jug : a a e ; bottle : d a o ; flask : e m v m ; decanter : f ; SEPARATE empty decanter	jug : a a e ; bottle : d a o ; flask : e m v m ; decanter : _ ;
glass : y ; cup : f g f ; SEPARATE empty cup	glass : y ; cup : _ ;
mug : m f f v v m ; canister : p g r ; SEPARATE empty mug	mug : _ ; canister : p g r ;
jar : a a ; mug : d a a ; urn : y h h o ; SEPARATE unmix mug	jar : a a ; mug : d ; mug : a a ; urn : y h h o ;
vessel : e e ; vessel : b a a b h ; cup : o o ; SEPARATE unmix first vessel	vessel : e e ; vessel : b a a b h ; cup : o o ;
cup : r ; jug : o o ; SEPARATE destroy cup	jug : o o ;
jar : d f f d ; vessel : d d f ; urn : v v ; pitcher : a ; SEPARATE unmix vessel	jar : d f f d ; vessel : d d ; vessel : f ; urn : v v ; pitcher : a ;
flagon : m o m ; thermos : c ; SEPARATE shift flagon before thermos	flagon : m o m ; thermos : c ;
jar : v ; vessel : y y ; vessel : d p c d ; SEPARATE unmix first vessel	jar : v ; vessel : y y ; vessel : d p c d ;
