Input	Output
thermos : r y r y ; glass : b r r b ; cup : a a d ; beaker : p p ; SEPARATE unmix cup	thermos : r y r y ; glass : b r r b ; cup : a a ; cup : d ; beaker : p p ;
glass : v c v c ; urn : d a c d a ; SEPARATE unmix urn	glass : v c v c ; urn : d d ; urn : a a ; urn : c ;
flagon : c f y ; pitcher : v y v ; canister : a y y ; SEPARATE unmix canister	flagon : c f y ; pitcher : v y v ; canister : a ; canister : y y ;
jar : b y y ; jar : e e o ; vessel : o o c ; SEPARATE unmix second jar	jar : b y y ; jar : e e ; jar : o ; vessel : o o c ;
vessel : c o p o ; bottle : e e a a ; SEPARATE unmix bottle	vessel : c o p o ; bottle : e e ; bottle : a a ;
flask : b a c b ; urn : g p g ; flagon : g g ; vessel : e a e ; SEPARATE unmix vessel	flask : b a c b ; urn : g p g ; flagon : g g ; vessel : e e ; vessel : a ;
cup : p ; mug : g ; SEPARATE unmix cup	cup : p ; mug : g ;
glass : g r r ; decanter : f f p m m ; burette : c c ; pitcher : v v r c c ; SEPARATE unmix glass	glass : g ; glass : r r ; decanter : f f p m m ; burette : c c ; pitcher : v v r c c ;
flask : p f b b f ; flask : b ; mug : r p d ; SEPARATE unmix mug	flask : p f b b f ; flask : b ; mug : r ; mug : p ; mug : d ;
bottle : v e h h e ; flask : m m ; bottle : y y ; SEPARATE unmix second bottle	bottle : v e h h e ; flask : m m ; bottle : y y ;
jug : y c y c ; decanter : b b a e e ; jar : f f ; glass : g g ; SEPARATE unmix jug	jug : y y ; jug : c c ; decanter : b b a e e ; jar : f f ; glass : g g ;
glass : g ; jug : g p v g ; beaker : y ; SEPARATE unmix glass	glass : g ; jug : g p v g ; beaker : y ;
glass : v h r h ; vessel : d c r d c r ; flask : r o r ; SEPARATE unmix glass	glass : v ; glass : h h ; glass : r ; vessel : d c r d c r ; flask : r o r ;
flask : g o o g ; decanter : o p ; SEPARATE unmix decanter	flask : g o o g ; decanter : o ; decanter : p ;
burette : f r f r ; cup : y ; canister : b b ; flagon : p b b e e p ; SEPARATE unmix burette	burette : f f ; burette : r r ; cup : y ; canister : b b ; flagon : p b b e e p ;
mug : f b ; bottle : p h p h ; urn : b h b h ; flask : h m d ; SEPARATE unmix bottle	mug : f b ; bottle : p p ; bottle : h h ; urn : b h b h ; flask : h m d ;
beaker : e e ; jar : f ; SEPARATE unmix jar	beaker : e e ; jar : f ;
jug : a h a ; thermos : f c f c p ; SEPARATE unmix jug	jug : a a ; jug : h ; thermos : f c f c p ;
jug : m m ; pitcher : c c ; SEPARATE unmix jug	jug : m m ; pitcher : c c ;
mug : g g ; flagon : c b ; mug : b b ; SEPARATE unmix flagon	mug : g g ; flagon : c ; flagon : b ; mug : b b ;
jug : d e y d y ; beaker : e ; bottle : f h p h f ; SEPARATE unmix bottle	jug : d e y d y ; beaker : e ; bottle : f f ; bottle : h h ; bottle : p ;
decanter : m f a f ; glass : f f e ; pitcher : y p r p ; SEPARATE unmix pitcher	decanter : m f a f ; glass : f f e ; pitcher : y ; pitcher : p p ; pitcher : r ;
bottle : a v p a ; flask : o v o ; flask : f h h f ; decanter : o o ; SEPARATE unmix first flask	bottle : a v p a ; flask : o o ; flask : v ; flask : f h h f ; decanter : o o ;
pitcher : y y ; flagon : h f ; jar : a y p ; cup : h ; SEPARATE unmix flagon	pitcher : y y ; flagon : h ; flagon : f ; jar : a y p ; cup : h ;
beaker : f ; vessel : b b ; decanter : b r b d ; SEPARATE unmix decanter	beaker : f ; vessel : b b ; decanter : b b ; decanter : r ; decanter : d ;
cup : d g d f ; mug : c y d c d y ; SEPARATE unmix cup	cup : d d ; cup : g ; cup : f ; mug : c y d c d y ;
pitcher : y g a ; burette : o o c ; decanter : b c b ; SEPARATE unmix decanter	pitcher : y g a ; burette : o o c ; decanter : b b ; decanter : c ;
glass : b ; flagon : c o m o ; mug : g h b g ; jug : e c c o ; SEPARATE unmix flagon	glass : b ; flagon : c ; flagon : o o ; flagon : m ; mug : g h b g ; jug : e c c o ;
urn : e a a e ; burette : b b ; canister : b m g b ; glass : c ; SEPARATE unmix canister	urn : e a a e ; burette : b b ; canister : b b ; canister : m ; canister : g ; glass : c ;
mug : a v b v b ; burette : p p ; SEPARATE unmix mug	mug : a ; mug : v v ; mug : b b ; burette : p p ;
urn : f a ; flask : c a ; jar : f c a ; SEPARATE unmix urn	urn : f ; urn : a ; flask : c a ; jar : f c a ;
flask : g d ; jar : e r e ; SEPARATE unmix flask	flask : g ; flask : d ; jar : e r e ;
burette : y d y g d ; beaker : o p d ; SEPARATE unmix burette	burette : y y ; burette : d d ; burette : g ; beaker : o p d ;
decanter : v v ; bottle : y y ; SEPARATE unmix bottle	decanter : v v ; bottle : y y ;
cup : d ; jug : a a ; decanter : a v a ; SEPARATE unmix jug	cup : d ; jug : a a ; decanter : a v a ;
jug : p p ; urn : b b ; thermos : e a a h h ; cup : b b d ; SEPARATE unmix cup	jug : p p ; urn : b b ; thermos : e a a h h ; cup : b b ; cup : d ;
thermos : d f o o ; jar : m p p ; pitcher : a a ; SEPARATE unmix pitcher	thermos : d f o o ; jar : m p p ; pitcher : a a ;
cup : g g o o ; vessel : h y ; jug : c ; SEPARATE unmix vessel	cup : g g o o ; vessel : h ; vessel : y ; jug : c ;
urn : r r ; bottle : y y ; SEPARATE unmix bottle	urn : r r ; bottle : y y ;
cup : g a v g ; mug : y f ; mug : o o c f ; pitcher : r m v v ; SEPARATE unmix second mug	cup : g a v g ; mug : y f ; mug : o o ; mug : c ; mug : f ; pitcher : r m v v ;
urn : a ; bottle : c c ; SEPARATE unmix urn	urn : a ; bottle : c c ;
mug : a ; urn : f f ; decanter : p a ; SEPARATE unmix urn	mug : a ; urn : f f ; decanter : p a ;
urn : m g ; urn : o o ; urn : y v v y g ; SEPARATE unmix first urn	urn : m ; urn : g ; urn : o o ; urn : y v v y g ;
pitcher : e p e ; glass : h m m h ; beaker : v f ; beaker : c ; SEPARATE unmix glass	pitcher : e p e ; glass : h h ; glass : m m ; beaker : v f ; beaker : c ;
cup : v ; jug : g g f ; SEPARATE unmix cup	cup : v ; jug : g g f ;
mug : e e ; flask : c h m m h ; beaker : g ; glass : p p ; SEPARATE unmix flask	mug : e e ; flask : c ; flask : h h ; flask : m m ; beaker : g ; glass : p p ;
mug : o ; cup : f o f ; decanter : b y b ; SEPARATE unmix mug	mug : o ; cup : f o f ; decanter : b y b ;
flagon : p r g g ; urn : m m v v f ; SEPARATE unmix flagon	flagon : p ; flagon : r ; flagon : g g ; urn : m m v v f ;
flask : y p m y m ; glass : v a p ; flagon : f d f y ; pitcher : p o o ; SEPARATE unmix flagon	flask : y p m y m ; glass : v a p ; flagon : f f ; flagon : d ; flagon : y ; pitcher : p o o ;
flask : c c ; burette : f p p e f e ; decanter : d b b ; jar : c r r ; SEPARATE unmix jar	flask : c c ; burette : f p p e f e ; decanter : d b b ; jar : c ; jar : r r ;
thermos : f ; flagon : r ; bottle : o p v o ; mug : h d b d ; SEPARATE unmix thermos	thermos : f ; flagon : r ; bottle : o p v o ; mug : h d b d ;
thermos : r r p p ; flask : o c b b o ; SEPARATE unmix flask	thermos : r r p p ; flask : o o ; flask : c ; flask : b b ;
vessel : a m a d m ; decanter : y v ; burette : f g g d ; jug : h o v h v ; SEPARATE unmix decanter	vessel : a m a d m ; decanter : y ; decanter : v ; burette : f g g d ; jug : h o v h v ;
decanter : d ; vessel : r r p ; glass : v b v ; SEPARATE unmix glass	decanter : d ; vessel : r r p ; glass : v v ; glass : b ;
flagon : r r ; bottle : f f o ; thermos : b e e ; SEPARATE unmix bottle	flagon : r r ; bottle : f f ; bottle : o ; thermos : b e e ;
beaker : h d h ; flask : r o r ; flask : f y ; SEPARATE unmix first flask	beaker : h d h ; flask : r r ; flask : o ; flask : f y ;
jar : y o o y ; vessel : y ; beaker : v ; SEPARATE unmix jar	jar : y y ; jar : o o ; vessel : y ; beaker : v ;
jar : v b b v ; decanter : c c ; decanter : a a ; SEPARATE unmix first decanter	jar : v b b v ; decanter : c c ; decanter : a a ;
decanter : a a ; bottle : e y y ; beaker : a v v b a b ; SEPARATE unmix decanter	decanter : a a ; bottle : e y y ; beaker : a v v b a b ;
jug : m b m b y y ; pitcher : r ; canister : r g a a g ; SEPARATE unmix canister	jug : m b m b y y ; pitcher : r ; canister : r ; canister : g g ; canister : a a ;
jug : f f b b ; flask : b g g f ; flagon : v f f ; burette : d o d f o ; SEPARATE unmix flagon	jug : f f b b ; flask : b g g f ; flagon : v ; flagon : f f ; burette : d o d f o ;
burette : h y h ; bottle : p r e ; SEPARATE unmix burette	burette : h h ; burette : y ; bottle : p r e ;
jar : h o o ; thermos : v c ; vessel : v g ; SEPARATE unmix jar	jar : h ; jar : o o ; thermos : v c ; vessel : v g ;
thermos : o e ; canister : o o ; canister : m b h b h ; SEPARATE unmix thermos	thermos : o ; thermos : e ; canister : o o ; canister : m b h b h ;
jug : b o b r r ; cup : d ; beaker : h d d ; urn : d f d ; SEPARATE unmix urn	jug : b o b r r ; cup : d ; beaker : h d d ; urn : d d ; urn : f ;
urn : a a m d m ; flagon : c r v ; SEPARATE unmix urn	urn : a a ; urn : m m ; urn : d ; flagon : c r v ;
flagon : h h ; vessel : h h e g ; SEPARATE unmix vessel	flagon : h h ; vessel : h h ; vessel : e ; vessel : g ;
