Input	Output
vessel : a p r r ; vessel : v f ; mug : e e a ; mug : b b y y m ; SEPARATE empty first vessel	vessel : _ ; vessel : v f ; mug : e e a ; mug : b b y y m ;
jug : m f d d ; canister : c p y p c ; jug : e ; pitcher : o h v v ; SEPARATE empty first jug	jug : _ ; canister : c p y p c ; jug : e ; pitcher : o h v v ;
jar : h h ; bottle : m a m a ; jar : c c b ; mug : y y m ; SEPARATE unmix first jar	jar : h h ; bottle : m a m a ; jar : c c b ; mug : y y m ;
canister : g m o g o m ; beaker : g f f m ; SEPARATE filter beaker	canister : g m o g o m ; beaker : g f f m ;
mug : e ; glass : o ; urn : o o p f p f ; SEPARATE create cup	mug : e ; glass : o ; urn : o o p f p f ; cup : _ ;
canister : c ; flagon : d d ; SEPARATE empty canister	canister : _ ; flagon : d d ;
bottle : m e m ; thermos : a h ; SEPARATE add five yellow to bottle	bottle : m e m y y y y y ; thermos : a h ;
cup : v g g a v ; decanter : o r h r h ; thermos : d o o ; jug : p p ; SEPARATE double jug	cup : v g g a v ; decanter : o r h r h ; thermos : d o o ; jug : p p p p ;
glass : v g v f g ; jug : h a h ; flagon : a p o o p ; SEPARATE filter glass	glass : v v g g f ; jug : h a h ; flagon : a p o o p ;
beaker : h g e e h ; flask : o o h c ; SEPARATE add one blue to beaker	beaker : h g e e h b ; flask : o o h c ;
pitcher : h ; flagon : e ; cup : d g d g m m ; SEPARATE create jug	pitcher : h ; flagon : e ; cup : d g d g m m ; jug : _ ;
flagon : b b a a ; thermos : m ; flask : d h h d ; SEPARATE shift thermos before flask	flagon : b b a a ; thermos : m ; flask : d h h d ;
flask : c b y c ; urn : d a h d a h ; decanter : h d ; bottle : h h d ; SEPARATE shift flask after bottle	urn : d a h d a h ; decanter : h d ; bottle : h h d ; flask : c b y c ;
burette : d ; bottle : a h ; thermos : d d v e v e ; bottle : r r ; SEPARATE empty second bottle	burette : d ; bottle : a h ; thermos : d d v e v e ; bottle : _ ;
vessel : b a a c ; vessel : e e y b y b ; thermos : p r e e r ; SEPARATE double first vessel	vessel : b a a c b a a c ; vessel : e e y b y b ; thermos : p r e e r ;
jar : r r ; pitcher : v v ; decanter : g m g ; glass : m d d ; SEPARATE create canister	jar : r r ; pitcher : v v ; decanter : g m g ; glass : m d d ; canister : _ ;
canister : y y d o o ; burette : r r ; bottle : v c r v r c ; SEPARATE shift burette before bottle	canister : y y d o o ; burette : r r ; bottle : v c r v r c ;
thermos : o g g ; thermos : v ; beaker : p ; bottle : e f e ; SEPARATE unmix beaker	thermos : o g g ; thermos : v ; beaker : p ; bottle : e f e ;
glass : v ; jar : m p m ; SEPARATE shift jar before glass	jar : m p m ; glass : v ;
pitcher : r g o o ; urn : y ; SEPARATE add one magenta to urn	pitcher : r g o o ; urn : y m ;
pitcher : e o m m o e ; jug : m m ; SEPARATE create flask	pitcher : e o m m o e ; jug : m m ; flask : _ ;
pitcher : h ; jug : m e ; SEPARATE filter pitcher	pitcher : h ; jug : m e ;
burette : y ; beaker : r ; SEPARATE double beaker	burette : y ; beaker : r r ;
flagon : p g r r p ; jar : o c f c ; decanter : a d a d ; pitcher : o e e ; SEPARATE destroy flagon	jar : o c f c ; decanter : a d a d ; pitcher : o e e ;
urn : g ; glass : o o m e ; urn : p c p ; burette : g v g ; SEPARATE unmix burette	urn : g ; glass : o o m e ; urn : p c p ; burette : g g ; burette : v ;
bottle : p p ; urn : a e a e ; burette : v p p ; pitcher : d ; SEPARATE empty urn	bottle : p p ; urn : _ ; burette : v p p ; pitcher : d ;
canister : y p y ; vessel : c c b b e e ; bottle : e e ; SEPARATE empty vessel	canister : y p y ; vessel : _ ; bottle : e e ;
urn : b m b ; cup : f f ; thermos : f h d ; SEPARATE create canister	urn : b m b ; cup : f f ; thermos : f h d ; canister : _ ;
cup : o o d a a d ; urn : b b ; pitcher : b b ; jar : h h d p ; SEPARATE add four cabernet to urn	cup : o o d a a d ; urn : b b c c c c ; pitcher : b b ; jar : h h d p ;
flagon : f ; decanter : f a b a ; SEPARATE shift decanter after flagon	flagon : f ; decanter : f a b a ;
bottle : r f a r ; flask : f o ; SEPARATE create burette	bottle : r f a r ; flask : f o ; burette : _ ;
cup : h ; thermos : v ; flask : f f ; flask : m ; SEPARATE add one orange to first flask	cup : h ; thermos : v ; flask : f f o ; flask : m ;
vessel : c c g ; glass : f y f y ; SEPARATE create thermos	vessel : c c g ; glass : f y f y ; thermos : _ ;
canister : b ; flagon : g f g f o o ; vessel : e d e c c d ; SEPARATE create decanter	canister : b ; flagon : g f g f o o ; vessel : e d e c c d ; decanter : _ ;
bottle : c p p ; flagon : b ; flagon : f f ; flask : b g m b m ; SEPARATE empty second flagon	bottle : c p p ; flagon : b ; flagon : _ ; flask : b g m b m ;
mug : r r ; beaker : c d d c ; glass : y y ; SEPARATE double glass	mug : r r ; beaker : c d d c ; glass : y y y y ;
glass : b ; jug : r ; SEPARATE create beaker	glass : b ; jug : r ; beaker : _ ;
decanter : v m h m v ; vessel : d y ; SEPARATE filter decanter	decanter : v v m m h ; vessel : d y ;
urn : c c ; flask : a a ; SEPARATE filter urn	urn : c c ; flask : a a ;
burette : e ; jug : o h o h ; SEPARATE empty burette	burette : _ ; jug : o h o h ;
vessel : f f ; jug : g g p p o o ; vessel : v r d r v d ; vessel : a d a d ; SEPARATE double last vessel	vessel : f f ; jug : g g p p o o ; vessel : v r d r v d ; vessel : a d a d a d a d ;
pitcher : a f v v ; vessel : p p ; beaker : y r ; cup : y o ; SEPARATE unmix pitcher	pitcher : a ; pitcher : f ; pitcher : v v ; vessel : p p ; beaker : y r ; cup : y o ;
bottle : r ; cup : m f m y ; SEPARATE add six green to bottle	bottle : r g g g g g g ; cup : m f m y ;
decanter : y y ; cup : c ; SEPARATE empty decanter	decanter : _ ; cup : c ;
flask : c v d d ; pitcher : d y d ; thermos : g g ; SEPARATE empty thermos	flask : c v d d ; pitcher : d y d ; thermos : _ ;
thermos : m m ; flask : a a ; SEPARATE add five cabernet to thermos	thermos : m m c c c c c ; flask : a a ;
flask : d ; jar : y g h y g ; vessel : p c c p o o ; jug : a h h a ; SEPARATE shift flask before vessel	jar : y g h y g ; flask : d ; vessel : p c c p o o ; jug : a h h a ;
pitcher : v v ; canister : h p d ; burette : h v h ; pitcher : c c m a a ; SEPARATE unmix burette	pitcher : v v ; canister : h p d ; burette : h h ; burette : v ; pitcher : c c m a a ;
decanter : g g ; decanter : r c e c ; flask : d ; thermos : p m f ; SEPARATE double second decanter	decanter : g g ; decanter : r c e c r c e c ; flask : d ; thermos : p m f ;
cup : y y ; jar : h d v v d ; glass : a f r ; glass : r o r o d ; SEPARATE destroy jar	cup : y y ; glass : a f r ; glass : r o r o d ;
thermos : h r ; flagon : p g ; SEPARATE create decanter	thermos : h r ; flagon : p g ; decanter : _ ;
burette : v y v ; jug : a r r a ; jar : a ; bottle : c c ; SEPARATE create vessel	burette : v y v ; jug : a r r a ; jar : a ; bottle : c c ; vessel : _ ;
mug : h p p h ; flask : h h ; burette : c f b b ; SEPARATE double burette	mug : h p p h ; flask : h h ; burette : c f b b c f b b ;
flagon : v v b ; urn : b a e a ; jug : h p p m ; beaker : b m v b v ; SEPARATE double beaker	flagon : v v b ; urn : b a e a ; jug : h p p m ; beaker : b m v b v b m v b v ;
pitcher : c m ; canister : m m c ; jar : r ; beaker : y y b f b ; SEPARATE empty pitcher	pitcher : _ ; canister : m m c ; jar : r ; beaker : y y b f b ;
canister : h h ; flagon : h c h e e ; flagon : e f e d ; SEPARATE add five cabernet to last flagon	canister : h h ; flagon : h c h e e ; flagon : e f e d c c c c c ;
burette : y a a o y ; mug : g c m ; SEPARATE empty burette	burette : _ ; mug : g c m ;
jar : b g v v ; bottle : g g ; urn : o p o p m ; flask : b r ; SEPARATE empty bottle	jar : b g v v ; bottle : _ ; urn : o p o p m ; flask : b r ;
