Input	Output
canister : p ; jug : e e ; urn : c v c v ; SEPARATE destroy jug	canister : p ; urn : c v c v ;
decanter : b b ; beaker : g b g a a ; SEPARATE destroy beaker	decanter : b b ;
bottle : y d ; burette : r p p v ; urn : d m d m ; pitcher : h h m a ; SEPARATE destroy burette	bottle : y d ; urn : d m d m ; pitcher : h h m a ;
glass : h v b v ; glass : f d f c d c ; cup : y g a ; glass : b m p ; SEPARATE destroy last glass	glass : h v b v ; glass : f d f c d c ; cup : y g a ;
thermos : a ; flagon : g g p ; glass : a a ; mug : g ; SEPARATE destroy mug	thermos : a ; flagon : g g p ; glass : a a ;
canister : c a c a ; flask : r p ; SEPARATE destroy canister	flask : r p ;
cup : a d a d ; flask : c c v ; mug : h y y h ; SEPARATE destroy mug	cup : a d a d ; flask : c c v ;
pitcher : g ; pitcher : e ; SEPARATE destroy last pitcher	pitcher : g ;
glass : p h p h ; flask : e v v ; thermos : v v ; thermos : y e y ; SEPARATE destroy glass	flask : e v v ; thermos : v v ; thermos : y e y ;
jug : r r c c ; decanter : h b b c h c ; urn : d d ; cup : e h g h g ; SEPARATE destroy decanter	jug : r r c c ; urn : d d ; cup : e h g h g ;
canister : e e ; flagon : m ; SEPARATE destroy canister	flagon : m ;
burette : p h g g p ; flask : y e y e ; SEPARATE destroy flask	burette : p h g g p ;
burette : v c a a c v ; urn : d h d h ; flask : y v a ; flagon : h f d h f ; SEPARATE destroy flask	burette : v c a a c v ; urn : d h d h ; flagon : h f d h f ;
cup : f c ; beaker : r o ; urn : r y f r f ; bottle : y y ; SEPARATE destroy beaker	cup : f c ; urn : r y f r f ; bottle : y y ;
jar : b f ; pitcher : r a a ; glass : r r ; bottle : y ; SEPARATE destroy glass	jar : b f ; pitcher : r a a ; bottle : y ;
vessel : y y ; decanter : o o ; canister : m m ; SEPARATE destroy decanter	vessel : y y ; canister : m m ;
glass : g g b ; canister : r y r ; canister : h h y ; cup : h r ; SEPARATE destroy cup	glass : g g b ; canister : r y r ; canister : h h y ;
decanter : m h p p ; urn : f f ; vessel : h r e r h ; SEPARATE destroy urn	decanter : m h p p ; vessel : h r e r h ;
cup : g o h g o ; beaker : o o ; SEPARATE destroy cup	beaker : o o ;
flagon : p ; cup : p ; glass : a a ; SEPARATE destroy flagon	cup : p ; glass : a a ;
thermos : e o e a ; urn : m a a ; glass : e f ; SEPARATE destroy glass	thermos : e o e a ; urn : m a a ;
beaker : v e ; flagon : p g g p b b ; urn : m m ; canister : h ; SEPARATE destroy flagon	beaker : v e ; urn : m m ; canister : h ;
jar : y r h y ; jar : e ; urn : v b a v a ; flask : e e ; SEPARATE destroy flask	jar : y r h y ; jar : e ; urn : v b a v a ;
urn : d ; beaker : p d d ; SEPARATE destroy beaker	urn : d ;
pitcher : c ; beaker : b b a ; SEPARATE destroy beaker	pitcher : c ;
pitcher : f r r f ; urn : g g ; glass : a y a ; glass : e v ; SEPARATE destroy urn	pitcher : f r r f ; glass : a y a ; glass : e v ;
jug : c d e ; glass : y y m m g g ; bottle : b b c c ; SEPARATE destroy bottle	jug : c d e ; glass : y y m m g g ;
canister : p ; jar : y ; SEPARATE destroy canister	jar : y ;
canister : d g g ; burette : h o o e h ; cup : h b ; SEPARATE destroy burette	canister : d g g ; cup : h b ;
burette : h h ; beaker : d h h d e e ; canister : o m m o ; pitcher : a g a ; SEPARATE destroy pitcher	burette : h h ; beaker : d h h d e e ; canister : o m m o ;
urn : g r g ; canister : v c c g v g ; SEPARATE destroy urn	canister : v c c g v g ;
urn : e g g ; glass : h b p b h p ; bottle : b c b ; SEPARATE destroy bottle	urn : e g g ; glass : h b p b h p ;
jar : g g ; cup : a a ; SEPARATE destroy jar	cup : a a ;
urn : g g ; jug : b v m v ; SEPARATE destroy urn	jug : b v m v ;
