Input	Output
cup : m f f m o ; flask : m m h p h p ; SEPARATE destroy flask	cup : m f f m o ;
pitcher : g f ; flagon : f ; jar : r b c r ; SEPARATE destroy jar	pitcher : g f ; flagon : f ;
burette : a ; jar : r r ; glass : d o ; jar : p o o ; SEPARATE destroy burette	jar : r r ; glass : d o ; jar : p o o ;
glass : f ; burette : o v a ; SEPARATE destroy glass	burette : o v a ;
vessel : v ; decanter : v e v e g ; SEPARATE destroy vessel	decanter : v e v e g ;
cup : r r ; burette : y y d ; decanter : r r y ; SEPARATE destroy decanter	cup : r r ; burette : y y d ;
beaker : e c c ; bottle : f y d ; jug : g ; SEPARATE destroy jug	beaker : e c c ; bottle : f y d ;
pitcher : y h f f y ; canister : v ; glass : v ; SEPARATE destroy pitcher	canister : v ; glass : v ;
pitcher : y y b ; pitcher : c c r ; pitcher : d d ; SEPARATE destroy last pitcher	pitcher : y y b ; pitcher : c c r ;
urn : a r g a r g ; bottle : b h h b d ; flagon : a f a f ; SEPARATE destroy bottle	urn : a r g a r g ; flagon : a f a f ;
cup : d d c c ; burette : r r ; pitcher : h ; mug : f g h g f ; SEPARATE destroy cup	burette : r r ; pitcher : h ; mug : f g h g f ;
decanter : h v h y v ; glass : g d v ; SEPARATE destroy glass	decanter : h v h y v ;
mug : o c h o c ; bottle : d r r o d ; mug : g g h ; SEPARATE destroy second mug	mug : o c h o c ; bottle : d r r o d ;
decanter : b ; canister : c m ; glass : f e e f ; SEPARATE destroy canister	decanter : b ; glass : f e e f ;
vessel : h d d h b ; pitcher : b a a ; pitcher : b o o ; SEPARATE destroy first pitcher	vessel : h d d h b ; pitcher : b o o ;
bottle : m e o m o ; beaker : m m ; flagon : v ; canister : a h a ; SEPARATE destroy canister	bottle : m e o m o ; beaker : m m ; flagon : v ;
decanter : g d f g d ; burette : p y ; pitcher : p ; thermos : y d y g ; SEPARATE destroy burette	decanter : g d f g d ; pitcher : p ; thermos : y d y g ;
thermos : d c ; mug : h ; thermos : g a ; SEPARATE destroy second thermos	thermos : d c ; mug : h ;
beaker : m d m ; decanter : r ; SEPARATE destroy beaker	decanter : r ;
flask : f y h h f ; flagon : y y ; thermos : e ; SEPARATE destroy flask	flagon : y y ; thermos : e ;
jar : y d y ; jar : f f ; SEPARATE destroy first jar	jar : f f ;
cup : r e e p r ; cup : m ; SEPARATE destroy first cup	cup : m ;
decanter : m h a m ; pitcher : g y ; pitcher : m h ; SEPARATE destroy decanter	pitcher : g y ; pitcher : m h ;
flask : c b b o c ; vessel : m h h ; decanter : y y ; glass : r o v r ; SEPARATE destroy decanter	flask : c b b o c ; vessel : m h h ; glass : r o v r ;
flask : a a p ; urn : p a c p ; canister : m y e e ; SEPARATE destroy flask	urn : p a c p ; canister : m y e e ;
vessel : b a a b ; mug : v ; SEPARATE destroy mug	vessel : b a a b ;
glass : g ; beaker : f f m ; SEPARATE destroy glass	beaker : f f m ;
decanter : a d d ; mug : b b v y ; SEPARATE destroy decanter	mug : b b v y ;
burette : f ; jug : v o o ; jug : b y ; SEPARATE destroy last jug	burette : f ; jug : v o o ;
beaker : b o o ; decanter : h h ; urn : d b d b p ; SEPARATE destroy beaker	decanter : h h ; urn : d b d b p ;
jar : e r r e v ; flagon : o p ; cup : d e e a ; thermos : a h y a ; SEPARATE destroy flagon	jar : e r r e v ; cup : d e e a ; thermos : a h y a ;
vessel : p p f d d ; canister : h d ; decanter : v c v ; canister : e e m m ; SEPARATE destroy decanter	vessel : p p f d d ; canister : h d ; canister : e e m m ;
vessel : d ; flask : p ; SEPARATE destroy flask	vessel : d ;
bottle : e e d d ; pitcher : o e ; pitcher : a c c ; jar : r r y ; SEPARATE destroy last pitcher	bottle : e e d d ; pitcher : o e ; jar : r r y ;
beaker : g ; urn : h h e ; jug : c ; beaker : g e o g ; SEPARATE destroy last beaker	beaker : g ; urn : h h e ; jug : c ;
decanter : a ; canister : a f a ; bottle : b b d ; vessel : h g f f ; SEPARATE destroy decanter	canister : a f a ; bottle : b b d ; vessel : h g f f ;
jar : g ; bottle : o ; pitcher : v h h v g ; SEPARATE destroy pitcher	jar : g ; bottle : o ;
thermos : f f ; jug : d g y y g ; flagon : g o g o a a ; SEPARATE destroy jug	thermos : f f ; flagon : g o g o a a ;
thermos : o o ; flask : g ; SEPARATE destroy thermos	flask : g ;
burette : d y y ; bottle : a a o ; SEPARATE destroy burette	bottle : a a o ;
flask : f f ; pitcher : h y o ; SEPARATE destroy pitcher	flask : f f ;
mug : r ; decanter : y f p ; canister : p ; jug : g r r h ; SEPARATE destroy decanter	mug : r ; canister : p ; jug : g r r h ;
thermos : y e ; urn : m m f f ; SEPARATE destroy urn	thermos : y e ;
decanter : f f m m ; pitcher : y v o o y ; SEPARATE destroy decanter	pitcher : y v o o y ;
cup : b y ; jug : a ; glass : d r h r d ; beaker : c c ; SEPARATE destroy beaker	cup : b y ; jug : a ; glass : d r h r d ;
bottle : m ; flask : c c ; flask : v e y y v ; SEPARATE destroy first flask	bottle : m ; flask : v e y y v ;
beaker : b ; urn : o ; SEPARATE destroy beaker	urn : o ;
burette : f f ; vessel : p ; bottle : f p r p r ; cup : e d d e a ; SEPARATE destroy vessel	burette : f f ; bottle : f p r p r ; cup : e d d e a ;
decanter : b c b ; beaker : r r y h y ; canister : e b e b h h ; thermos : p ; SEPARATE destroy decanter	beaker : r r y h y ; canister : e b e b h h ; thermos : p ;
canister : b y ; burette : h h ; SEPARATE destroy canister	burette : h h ;
flask : e c b b e c ; jar : h h ; jug : b a a ; SEPARATE destroy flask	jar : h h ; jug : b a a ;
jug : a d ; decanter : d v o o d ; mug : e ; canister : f f d g ; SEPARATE destroy decanter	jug : a d ; mug : e ; canister : f f d g ;
burette : g g c c ; pitcher : b ; flask : e y o y e ; glass : p o r r o p ; SEPARATE destroy glass	burette : g g c c ; pitcher : b ; flask : e y o y e ;
flagon : b h h ; bottle : e p e ; flagon : m f f m ; flask : m ; SEPARATE destroy second flagon	flagon : b h h ; bottle : e p e ; flask : m ;
jug : r ; glass : v v ; SEPARATE destroy jug	glass : v v ;
glass : r v b b ; pitcher : p p v ; SEPARATE destroy glass	pitcher : p p v ;
thermos : p p ; urn : y o ; jar : b ; flask : p v v p ; SEPARATE destroy thermos	urn : y o ; jar : b ; flask : p v v p ;
urn : h h ; urn : d d ; jug : f e ; SEPARATE destroy last urn	urn : h h ; jug : f e ;
canister : v ; cup : h h c c ; SEPARATE destroy cup	canister : v ;
thermos : c a f c a ; bottle : a ; mug : r o o ; SEPARATE destroy mug	thermos : c a f c a ; bottle : a ;
cup : d v v ; decanter : m d h m h ; SEPARATE destroy cup	decanter : m d h m h ;
jug : e y ; pitcher : a ; vessel : a a ; mug : p ; SEPARATE destroy mug	jug : e y ; pitcher : a ; vessel : a a ;
beaker : b ; canister : o r y ; urn : y y m ; SEPARATE destroy beaker	canister : o r y ; urn : y y m ;
cup : p p ; decanter : r y h ; mug : e e f f ; flagon : e b b e ; SEPARATE destroy mug	cup : p p ; decanter : r y h ; flagon : e b b e ;
cup : v v d d ; cup : o a o ; SEPARATE destroy first cup	cup : o a o ;
cup : a a ; urn : d d ; decanter : f c o ; glass : g g ; SEPARATE destroy decanter	cup : a a ; urn : d d ; glass : g g ;
mug : f o e ; flask : v d ; jug : f o v v f ; SEPARATE destroy flask	mug : f o e ; jug : f o v v f ;
bottle : h ; pitcher : p ; jug : b b ; cup : e f ; SEPARATE destroy cup	bottle : h ; pitcher : p ; jug : b b ;
decanter : h h ; thermos : b b y ; burette : g m v ; urn : e m g g m e ; SEPARATE destroy thermos	decanter : h h ; burette : g m v ; urn : e m g g m e ;
flask : p ; mug : r r ; SEPARATE destroy mug	flask : p ;
burette : m b a a ; thermos : d y d ; SEPARATE destroy thermos	burette : m b a a ;
canister : e b b p p ; canister : d ; flagon : h ; cup : v d ; SEPARATE destroy cup	canister : e b b p p ; canister : d ; flagon : h ;
urn : d a m d ; flask : e o o ; canister : g g ; glass : v f m f m ; SEPARATE destroy urn	flask : e o o ; canister : g g ; glass : v f m f m ;
flask : g y y o g ; beaker : r b ; cup : r r ; bottle : c y b b ; SEPARATE destroy bottle	flask : g y y o g ; beaker : r b ; cup : r r ;
bottle : v ; pitcher : v v ; SEPARATE destroy pitcher	bottle : v ;
glass : m d ; canister : b b ; decanter : e e ; mug : m o m o ; SEPARATE destroy mug	glass : m d ; canister : b b ; decanter : e e ;
vessel : f f p r r ; glass : o d d p ; SEPARATE destroy vessel	glass : o d d p ;
bottle : b ; beaker : c e c a a ; cup : v v ; SEPARATE destroy bottle	beaker : c e c a a ; cup : v v ;
vessel : e o e ; decanter : r ; SEPARATE destroy decanter	vessel : e o e ;
burette : v v ; bottle : a d f f ; thermos : r r ; burette : r r ; SEPARATE destroy bottle	burette : v v ; thermos : r r ; burette : r r ;
vessel : h p h ; mug : r f ; SEPARATE destroy vessel	mug : r f ;
bottle : a ; flask : a v a ; flagon : c ; mug : h ; SEPARATE destroy bottle	flask : a v a ; flagon : c ; mug : h ;
thermos : e e ; urn : b o b ; SEPARATE destroy urn	thermos : e e ;
jug : o ; pitcher : v e c e v ; glass : p p h f ; canister : a ; SEPARATE destroy glass	jug : o ; pitcher : v e c e v ; canister : a ;
bottle : d p p ; urn : d c d c m ; SEPARATE destroy urn	bottle : d p p ;
beaker : a y y h ; mug : r c c r ; bottle : p ; SEPARATE destroy bottle	beaker : a y y h ; mug : r c c r ;
cup : r ; jar : p b d b ; jug : d e e o o ; flagon : m ; SEPARATE destroy cup	jar : p b d b ; jug : d e e o o ; flagon : m ;
urn : c o o b ; pitcher : c c ; glass : o o ; vessel : o p p e ; SEPARATE destroy urn	pitcher : c c ; glass : o o ; vessel : o p p e ;
thermos : p h h p ; beaker : v ; mug : y e f f ; glass : c b b m ; SEPARATE destroy beaker	thermos : p h h p ; mug : y e f f ; glass : c b b m ;
mug : g c c ; thermos : f c f ; mug : g ; SEPARATE destroy thermos	mug : g c c ; mug : g ;
mug : v v ; jar : h ; jug : p a f f p a ; bottle : r g g ; SEPARATE destroy bottle	mug : v v ; jar : h ; jug : p a f f p a ;
canister : y ; burette : y r b r b ; SEPARATE destroy canister	burette : y r b r b ;
burette : g b ; jar : f f ; SEPARATE destroy burette	jar : f f ;
cup : f h h f ; flask : f h ; beaker : r a ; beaker : h f f o h ; SEPARATE destroy first beaker	cup : f h h f ; flask : f h ; beaker : h f f o h ;
bottle : p p ; decanter : a g g a ; canister : o ; flask : y m m g y ; SEPARATE destroy bottle	decanter : a g g a ; canister : o ; flask : y m m g y ;
flagon : p ; cup : p ; glass : a a ; SEPARATE destroy flagon	cup : p ; glass : a a ;
thermos : b o o ; jug : h ; SEPARATE destroy thermos	jug : h ;
bottle : o b f b ; flagon : b b m ; SEPARATE destroy flagon	bottle : o b f b ;
jar : m ; canister : g o ; SEPARATE destroy canister	jar : m ;
glass : c e ; mug : d p ; SEPARATE destroy mug	glass : c e ;
mug : h g h ; cup : c b m b ; SEPARATE destroy cup	mug : h g h ;
jug : g ; beaker : p m p f f ; bottle : o e y ; SEPARATE destroy beaker	jug : g ; bottle : o e y ;
burette : y r r y ; canister : c d c ; decanter : h d d v ; cup : e h ; SEPARATE destroy canister	burette : y r r y ; decanter : h d d v ; cup : e h ;
flask : o ; burette : m r y y r m ; SEPARATE destroy burette	flask : o ;
decanter : h h b ; pitcher : r r ; beaker : g ; flagon : h y ; SEPARATE destroy flagon	decanter : h h b ; pitcher : r r ; beaker : g ;
urn : b b h ; decanter : h h ; SEPARATE destroy decanter	urn : b b h ;
mug : f f ; urn : r b g r b g ; SEPARATE destroy mug	urn : r b g r b g ;
decanter : h r h r ; jug : o o ; bottle : d a a b d b ; SEPARATE destroy bottle	decanter : h r h r ; jug : o o ;
flagon : r ; beaker : r m m r d ; mug : p p e ; glass : y v y ; SEPARATE destroy flagon	beaker : r m m r d ; mug : p p e ; glass : y v y ;
thermos : b b ; decanter : m m ; SEPARATE destroy thermos	decanter : m m ;
flask : c m v c m v ; canister : a ; SEPARATE destroy canister	flask : c m v c m v ;
beaker : o p o p ; decanter : h h ; beaker : h c c y h ; SEPARATE destroy first beaker	decanter : h h ; beaker : h c c y h ;
burette : v ; mug : a a b m m ; burette : c a a m c ; mug : a ; SEPARATE destroy first burette	mug : a a b m m ; burette : c a a m c ; mug : a ;
urn : e ; jug : b b ; flagon : f v ; SEPARATE destroy jug	urn : e ; flagon : f v ;
jar : a a ; cup : d ; jar : r ; SEPARATE destroy first jar	cup : d ; jar : r ;
jar : v a a ; burette : p p ; jar : r ; SEPARATE destroy burette	jar : v a a ; jar : r ;
glass : c d ; urn : p p h ; SEPARATE destroy urn	glass : c d ;
burette : f ; mug : m o a o a m ; SEPARATE destroy burette	mug : m o a o a m ;
flask : a m a m v v ; pitcher : d p d c ; decanter : y v m y m ; SEPARATE destroy decanter	flask : a m a m v v ; pitcher : d p d c ;
beaker : p ; flagon : y y ; SEPARATE destroy beaker	flagon : y y ;
mug : g r v r v ; cup : a a p ; SEPARATE destroy mug	cup : a a p ;
bottle : r m r ; vessel : g g c c ; jug : g ; SEPARATE destroy bottle	vessel : g g c c ; jug : g ;
mug : p p ; bottle : m ; SEPARATE destroy bottle	mug : p p ;
canister : f f p ; vessel : g y m g m ; jug : c r ; pitcher : g b ; SEPARATE destroy vessel	canister : f f p ; jug : c r ; pitcher : g b ;
burette : c ; urn : v m v b ; SEPARATE destroy burette	urn : v m v b ;
jar : m v h h m ; thermos : y ; SEPARATE destroy thermos	jar : m v h h m ;
flask : g ; flagon : e v e b v b ; canister : y y g ; flask : e ; SEPARATE destroy flagon	flask : g ; canister : y y g ; flask : e ;
mug : m h h ; bottle : o ; mug : a r ; vessel : f h g g ; SEPARATE destroy bottle	mug : m h h ; mug : a r ; vessel : f h g g ;
decanter : e r r ; flask : e g y e ; SEPARATE destroy decanter	flask : e g y e ;
bottle : v v ; decanter : v d v ; jar : p p b a b a ; mug : v ; SEPARATE destroy jar	bottle : v v ; decanter : v d v ; mug : v ;
beaker : o f p f ; beaker : y b r b r ; beaker : r o c c o r ; SEPARATE destroy last beaker	beaker : o f p f ; beaker : y b r b r ;
jar : e e ; beaker : f v v f d ; urn : p p h ; SEPARATE destroy urn	jar : e e ; beaker : f v v f d ;
jar : v ; urn : v e ; pitcher : d b d c ; beaker : c ; SEPARATE destroy pitcher	jar : v ; urn : v e ; beaker : c ;
beaker : f f d r d r ; jar : e a e ; SEPARATE destroy beaker	jar : e a e ;
mug : c v r r c v ; cup : y ; mug : m m ; SEPARATE destroy last mug	mug : c v r r c v ; cup : y ;
jug : f f y y ; thermos : v p b v ; burette : y r r p y ; SEPARATE destroy thermos	jug : f f y y ; burette : y r r p y ;
canister : b h a a h ; cup : o ; decanter : g ; jug : y ; SEPARATE destroy canister	cup : o ; decanter : g ; jug : y ;
cup : o c y c y o ; jug : m m d ; thermos : p p ; vessel : r y h h y ; SEPARATE destroy vessel	cup : o c y c y o ; jug : m m d ; thermos : p p ;
mug : c ; jug : o h o g g ; pitcher : h e p h ; bottle : a a d r d r ; SEPARATE destroy pitcher	mug : c ; jug : o h o g g ; bottle : a a d r d r ;
flask : e e ; decanter : h g g h ; flagon : h ; SEPARATE destroy decanter	flask : e e ; flagon : h ;
burette : v h v ; bottle : h h p ; SEPARATE destroy burette	bottle : h h p ;
decanter : o ; bottle : e y e g ; SEPARATE destroy bottle	decanter : o ;
urn : f o f o ; canister : y c c y ; thermos : g g ; SEPARATE destroy thermos	urn : f o f o ; canister : y c c y ;
jug : g g ; bottle : m d d p ; jug : y a d a y ; urn : d d ; SEPARATE destroy second jug	jug : g g ; bottle : m d d p ; urn : d d ;
