Input	Output
jar : m f f ; thermos : y y ; urn : f e e ; burette : c v c o ; SEPARATE add two harlequin to burette	jar : m f f ; thermos : y y ; urn : f e e ; burette : c v c o h h ;
decanter : c d d ; vessel : a a ; jar : b d ; SEPARATE create glass	decanter : c d d ; vessel : a a ; jar : b d ; glass : _ ;
glass : h f f y y ; mug : f ; pitcher : p e a e p a ; decanter : y ; SEPARATE double mug	glass : h f f y y ; mug : f f ; pitcher : p e a e p a ; decanter : y ;
pitcher : e y ; flask : f e f ; beaker : p ; thermos : y y f ; SEPARATE shift pitcher before flask	pitcher : e y ; flask : f e f ; beaker : p ; thermos : y y f ;
flagon : c ; canister : o y o ; decanter : g y ; pitcher : g g v ; SEPARATE unmix flagon	flagon : c ; canister : o y o ; decanter : g y ; pitcher : g g v ;
vessel : a g r g a ; urn : p ; mug : r e m e r m ; SEPARATE create urn	vessel : a g r g a ; urn : p ; mug : r e m e r m ; urn : _ ;
flask : b p b r ; beaker : b b h ; SEPARATE double beaker	flask : b p b r ; beaker : b b h b b h ;
mug : v r h ; flask : g g c c ; SEPARATE double mug	mug : v r h v r h ; flask : g g c c ;
jar : o h h ; mug : p f h h p f ; SEPARATE empty jar	jar : _ ; mug : p f h h p f ;
beaker : y y o ; bottle : b b h h r r ; SEPARATE shift beaker after bottle	bottle : b b h h r r ; beaker : y y o ;
jar : o ; canister : g o r r o ; glass : p p ; SEPARATE add four fuchsia to glass	jar : o ; canister : g o r r o ; glass : p p f f f f ;
mug : g b a a ; urn : b ; urn : a g a ; SEPARATE filter first urn	mug : g b a a ; urn : b ; urn : a g a ;
glass : y d d a y ; jug : m c d ; SEPARATE filter jug	glass : y d d a y ; jug : m c d ;
pitcher : c o c ; decanter : d d ; SEPARATE create pitcher	pitcher : c o c ; decanter : d d ; pitcher : _ ;
jug : y p y p h h ; jar : p r p r ; burette : f f ; SEPARATE filter burette	jug : y p y p h h ; jar : p r p r ; burette : f f ;
jug : o ; cup : b ; beaker : c c ; vessel : b p p ; SEPARATE create vessel	jug : o ; cup : b ; beaker : c c ; vessel : b p p ; vessel : _ ;
canister : h ; pitcher : y p y a a ; SEPARATE create pitcher	canister : h ; pitcher : y p y a a ; pitcher : _ ;
pitcher : m v v ; mug : v v ; thermos : y y f ; cup : m m ; SEPARATE empty cup	pitcher : m v v ; mug : v v ; thermos : y y f ; cup : _ ;
flagon : a ; jug : e e ; SEPARATE unmix jug	flagon : a ; jug : e e ;
burette : h b h ; decanter : g y e g y ; decanter : a a f ; SEPARATE create jar	burette : h b h ; decanter : g y e g y ; decanter : a a f ; jar : _ ;
canister : v p m v ; urn : h h ; glass : v ; pitcher : y y ; SEPARATE add three red to canister	canister : v p m v r r r ; urn : h h ; glass : v ; pitcher : y y ;
mug : d p h ; beaker : a a ; cup : a ; thermos : y p p c c ; SEPARATE shift beaker after cup	mug : d p h ; cup : a ; beaker : a a ; thermos : y p p c c ;
decanter : c ; flask : g g f b ; thermos : d h h g ; burette : f f ; SEPARATE add five violet to burette	decanter : c ; flask : g g f b ; thermos : d h h g ; burette : f f v v v v v ;
vessel : p d p ; glass : o h h o ; beaker : o p p o b b ; thermos : y y c ; SEPARATE shift vessel after glass	glass : o h h o ; vessel : p d p ; beaker : o p p o b b ; thermos : y y c ;
bottle : e e ; pitcher : c b m b ; SEPARATE filter bottle	bottle : e e ; pitcher : c b m b ;
jug : g ; bottle : m v p m ; SEPARATE empty jug	jug : _ ; bottle : m v p m ;
mug : f f m ; canister : b b ; bottle : r r a a g ; SEPARATE shift mug after bottle	canister : b b ; bottle : r r a a g ; mug : f f m ;
burette : b p ; decanter : b b ; SEPARATE filter burette	burette : b p ; decanter : b b ;
canister : g g c c ; vessel : c c ; SEPARATE empty canister	canister : _ ; vessel : c c ;
bottle : v v ; jug : f f b v v ; SEPARATE double bottle	bottle : v v v v ; jug : f f b v v ;
flask : a o o ; flagon : m b b ; SEPARATE double flagon	flask : a o o ; flagon : m b b m b b ;
decanter : r r y ; canister : o g h o h ; decanter : d ; SEPARATE double first decanter	decanter : r r y r r y ; canister : o g h o h ; decanter : d ;
beaker : h m g ; jug : a ; glass : m m ; SEPARATE unmix beaker	beaker : h ; beaker : m ; beaker : g ; jug : a ; glass : m m ;
thermos : m o o ; vessel : f f v h h ; SEPARATE unmix vessel	thermos : m o o ; vessel : f f ; vessel : v ; vessel : h h ;
bottle : a o o a ; glass : b b f c c ; jar : v h v m h ; decanter : a a ; SEPARATE double bottle	bottle : a o o a a o o a ; glass : b b f c c ; jar : v h v m h ; decanter : a a ;
flagon : m o o ; vessel : p h o p ; decanter : e e ; cup : f ; SEPARATE double vessel	flagon : m o o ; vessel : p h o p p h o p ; decanter : e e ; cup : f ;
pitcher : v a h ; decanter : f g ; burette : d h h ; flask : p r p ; SEPARATE unmix decanter	pitcher : v a h ; decanter : f ; decanter : g ; burette : d h h ; flask : p r p ;
mug : g g ; vessel : h v h v ; cup : b b ; glass : a y p ; SEPARATE add six purple to cup	mug : g g ; vessel : h v h v ; cup : b b p p p p p p ; glass : a y p ;
thermos : g h ; thermos : v h h ; thermos : b b y y r ; SEPARATE shift last thermos before second thermos	thermos : g h ; thermos : b b y y r ; thermos : v h h ;
canister : o c y o ; mug : p ; decanter : f f ; jug : a ; SEPARATE double decanter	canister : o c y o ; mug : p ; decanter : f f f f ; jug : a ;
urn : p m ; burette : a a b ; flask : e o ; bottle : r y y r ; SEPARATE shift bottle after burette	urn : p m ; burette : a a b ; bottle : r y y r ; flask : e o ;
jar : c o ; canister : o e ; vessel : e e ; jug : g o y ; SEPARATE add four cabernet to vessel	jar : c o ; canister : o e ; vessel : e e c c c c ; jug : g o y ;
urn : a a m d m ; flagon : c r v ; SEPARATE unmix urn	urn : a a ; urn : m m ; urn : d ; flagon : c r v ;
canister : b y ; canister : c ; jug : a b b a ; SEPARATE double jug	canister : b y ; canister : c ; jug : a b b a a b b a ;
urn : v v a f f ; glass : p y y p ; canister : p r ; SEPARATE unmix urn	urn : v v ; urn : a ; urn : f f ; glass : p y y p ; canister : p r ;
bottle : m y ; mug : a p p h ; canister : h h ; mug : f o f g o ; SEPARATE unmix first mug	bottle : m y ; mug : a ; mug : p p ; mug : h ; canister : h h ; mug : f o f g o ;
pitcher : f g g ; jar : o v m v m ; mug : g g ; decanter : e p p ; SEPARATE create vessel	pitcher : f g g ; jar : o v m v m ; mug : g g ; decanter : e p p ; vessel : _ ;
beaker : p p ; glass : g c c ; jar : v d g g d ; cup : d f d ; SEPARATE shift cup after beaker	beaker : p p ; cup : d f d ; glass : g c c ; jar : v d g g d ;
pitcher : p a a b ; flagon : p p ; SEPARATE add six orange to flagon	pitcher : p a a b ; flagon : p p o o o o o o ;
bottle : m m v f v ; bottle : o f f ; beaker : g b b p p ; SEPARATE filter last bottle	bottle : m m v f v ; bottle : o f f ; beaker : g b b p p ;
jar : d ; pitcher : p o p ; SEPARATE filter pitcher	jar : d ; pitcher : p p o ;
beaker : v v y y ; beaker : r r o o ; mug : h m m c ; glass : g o a a g ; SEPARATE empty glass	beaker : v v y y ; beaker : r r o o ; mug : h m m c ; glass : _ ;
beaker : m f m e ; mug : v v m ; SEPARATE filter mug	beaker : m f m e ; mug : v v m ;
mug : a c c ; vessel : e e ; SEPARATE double mug	mug : a c c a c c ; vessel : e e ;
canister : y e e o y ; pitcher : m ; SEPARATE shift pitcher after canister	canister : y e e o y ; pitcher : m ;
vessel : y ; glass : d ; burette : e h r ; SEPARATE add three fuchsia to vessel	vessel : y f f f ; glass : d ; burette : e h r ;
mug : y y ; flagon : d y p ; pitcher : a a ; SEPARATE create flask	mug : y y ; flagon : d y p ; pitcher : a a ; flask : _ ;
vessel : m ; flask : f f ; bottle : p p ; SEPARATE unmix bottle	vessel : m ; flask : f f ; bottle : p p ;
beaker : b h r h b ; decanter : g g v m ; canister : p ; pitcher : o ; SEPARATE filter decanter	beaker : b h r h b ; decanter : g g v m ; canister : p ; pitcher : o ;
canister : y y ; beaker : b m c b ; SEPARATE filter canister	canister : y y ; beaker : b m c b ;
pitcher : f m m ; urn : r h r f h f ; cup : m p p ; SEPARATE empty pitcher	pitcher : _ ; urn : r h r f h f ; cup : m p p ;
flask : g g e e ; decanter : g ; urn : v f ; bottle : e h h y ; SEPARATE add six harlequin to flask	flask : g g e e h h h h h h ; decanter : g ; urn : v f ; bottle : e h h y ;
mug : m m ; jar : h d h ; burette : g ; SEPARATE unmix jar	mug : m m ; jar : h h ; jar : d ; burette : g ;
mug : f ; urn : p f p ; mug : g a c ; SEPARATE double first mug	mug : f f ; urn : p f p ; mug : g a c ;
canister : f f ; jug : f ; jug : v ; jar : h ; SEPARATE unmix first jug	canister : f f ; jug : f ; jug : v ; jar : h ;
glass : b ; mug : r p b b ; SEPARATE empty mug	glass : b ; mug : _ ;
glass : a f a f ; mug : r g ; decanter : g ; canister : m m ; SEPARATE create cup	glass : a f a f ; mug : r g ; decanter : g ; canister : m m ; cup : _ ;
canister : h r y r h ; pitcher : f v ; SEPARATE empty canister	canister : _ ; pitcher : f v ;
bottle : b f c ; canister : h ; jar : y b h ; SEPARATE shift canister before jar	bottle : b f c ; canister : h ; jar : y b h ;
jar : y o y p p ; bottle : h r m ; SEPARATE double bottle	jar : y o y p p ; bottle : h r m h r m ;
glass : c c ; burette : e v r v ; cup : b b g g a a ; pitcher : b f b f ; SEPARATE double pitcher	glass : c c ; burette : e v r v ; cup : b b g g a a ; pitcher : b f b f b f b f ;
thermos : h g h p p ; pitcher : a a g ; jar : r r g e g ; SEPARATE double jar	thermos : h g h p p ; pitcher : a a g ; jar : r r g e g r r g e g ;
decanter : h f h f ; flask : a d a c ; SEPARATE filter flask	decanter : h f h f ; flask : a a d c ;
decanter : g c e g ; flagon : h h d ; SEPARATE add six yellow to decanter	decanter : g c e g y y y y y y ; flagon : h h d ;
jar : m c c ; jar : m d d m b ; pitcher : f c c f ; SEPARATE shift pitcher after last jar	jar : m c c ; jar : m d d m b ; pitcher : f c c f ;
jar : a a ; jug : o o ; urn : m m ; SEPARATE double jug	jar : a a ; jug : o o o o ; urn : m m ;
thermos : c p p ; vessel : g g ; bottle : o r ; jar : y y ; SEPARATE filter bottle	thermos : c p p ; vessel : g g ; bottle : o r ; jar : y y ;
urn : p b m m ; flask : y y ; jug : b e e b ; SEPARATE add five red to urn	urn : p b m m r r r r r ; flask : y y ; jug : b e e b ;
urn : v v ; canister : b d b ; jug : f o f a ; SEPARATE filter jug	urn : v v ; canister : b d b ; jug : f f o a ;
jug : f e f ; burette : b c v b ; SEPARATE shift jug before burette	jug : f e f ; burette : b c v b ;
urn : p p ; thermos : p v p g ; urn : c ; SEPARATE create thermos	urn : p p ; thermos : p v p g ; urn : c ; thermos : _ ;
mug : o p o b ; jar : v m e ; SEPARATE double jar	mug : o p o b ; jar : v m e v m e ;
bottle : a v a ; mug : v o m m ; SEPARATE double bottle	bottle : a v a a v a ; mug : v o m m ;
urn : b r ; pitcher : v v ; flagon : m d f d ; SEPARATE unmix pitcher	urn : b r ; pitcher : v v ; flagon : m d f d ;
glass : m ; mug : v v ; jug : m y y m ; SEPARATE unmix mug	glass : m ; mug : v v ; jug : m y y m ;
mug : h o h d d ; thermos : e e f ; flagon : y y ; SEPARATE add one fuchsia to mug	mug : h o h d d f ; thermos : e e f ; flagon : y y ;
bottle : b p h p ; jug : y g y ; jug : a y y ; bottle : m b b m ; SEPARATE filter first bottle	bottle : b p p h ; jug : y g y ; jug : a y y ; bottle : m b b m ;
bottle : p o ; pitcher : c c o m o m ; cup : g p f f ; vessel : h h ; SEPARATE shift vessel after pitcher	bottle : p o ; pitcher : c c o m o m ; vessel : h h ; cup : g p f f ;
cup : d d y ; burette : v v h b b ; mug : y ; flagon : g d d g p p ; SEPARATE shift burette before mug	cup : d d y ; burette : v v h b b ; mug : y ; flagon : g d d g p p ;
pitcher : o r p o ; pitcher : p b ; SEPARATE double first pitcher	pitcher : o r p o o r p o ; pitcher : p b ;
glass : h f h ; urn : m a m r r ; SEPARATE double urn	glass : h f h ; urn : m a m r r m a m r r ;
decanter : f r ; glass : a a y ; SEPARATE unmix decanter	decanter : f ; decanter : r ; glass : a a y ;
mug : o r o r ; jug : h h v ; flagon : r d ; SEPARATE shift jug after flagon	mug : o r o r ; flagon : r d ; jug : h h v ;
mug : v v b b ; flagon : y y p ; thermos : p e e ; SEPARATE double thermos	mug : v v b b ; flagon : y y p ; thermos : p e e p e e ;
beaker : o o ; bottle : g v ; jar : d d ; flagon : f b f ; SEPARATE empty beaker	beaker : _ ; bottle : g v ; jar : d d ; flagon : f b f ;
burette : e b a e a ; flask : o ; SEPARATE unmix flask	burette : e b a e a ; flask : o ;
decanter : y y c ; mug : m y m ; SEPARATE shift mug before decanter	mug : m y m ; decanter : y y c ;
cup : r r ; decanter : b ; burette : o ; glass : m d b ; SEPARATE add three fuchsia to cup	cup : r r f f f ; decanter : b ; burette : o ; glass : m d b ;
mug : a m m ; pitcher : b o o ; jar : r r y m ; glass : m m c b ; SEPARATE empty pitcher	mug : a m m ; pitcher : _ ; jar : r r y m ; glass : m m c b ;
decanter : p p h d d ; cup : m m a a ; flagon : p p ; burette : o v ; SEPARATE add one red to flagon	decanter : p p h d d ; cup : m m a a ; flagon : p p r ; burette : o v ;
thermos : m r m ; jug : p g ; cup : y v c y v c ; SEPARATE create beaker	thermos : m r m ; jug : p g ; cup : y v c y v c ; beaker : _ ;
glass : g a d ; bottle : c ; decanter : c d c p ; thermos : a a h ; SEPARATE add five harlequin to decanter	glass : g a d ; bottle : c ; decanter : c d c p h h h h h ; thermos : a a h ;
canister : d d ; thermos : p r ; beaker : d ; SEPARATE double thermos	canister : d d ; thermos : p r p r ; beaker : d ;
decanter : h ; jug : a e a ; SEPARATE unmix decanter	decanter : h ; jug : a e a ;
mug : y y a v ; beaker : h h ; flask : y p p h h y ; SEPARATE add six aqua to mug	mug : y y a v a a a a a a ; beaker : h h ; flask : y p p h h y ;
flask : d g b ; bottle : h h ; SEPARATE create canister	flask : d g b ; bottle : h h ; canister : _ ;
mug : b d d p ; jug : r d r g d g ; glass : m o ; bottle : a b a o ; SEPARATE add six daffodil to bottle	mug : b d d p ; jug : r d r g d g ; glass : m o ; bottle : a b a o d d d d d d ;
cup : g a d a d ; vessel : a b g a b ; jar : e ; pitcher : e h r e ; SEPARATE unmix pitcher	cup : g a d a d ; vessel : a b g a b ; jar : e ; pitcher : e e ; pitcher : h ; pitcher : r ;
urn : e e h r ; thermos : b b ; pitcher : p b b ; SEPARATE empty pitcher	urn : e e h r ; thermos : b b ; pitcher : _ ;
flask : r g g r ; cup : f o o ; canister : v h v c c h ; jug : e v v c e ; SEPARATE create flask	flask : r g g r ; cup : f o o ; canister : v h v c c h ; jug : e v v c e ; flask : _ ;
thermos : o e m ; vessel : f r f r d ; SEPARATE shift vessel before thermos	vessel : f r f r d ; thermos : o e m ;
beaker : y ; jar : g g e e ; canister : f a a ; burette : e e ; SEPARATE add one harlequin to canister	beaker : y ; jar : g g e e ; canister : f a a h ; burette : e e ;
bottle : f f ; mug : y v ; SEPARATE create bottle	bottle : f f ; mug : y v ; bottle : _ ;
thermos : a ; burette : a o a o ; mug : h ; SEPARATE empty mug	thermos : a ; burette : a o a o ; mug : _ ;
mug : p ; flask : v p p ; canister : c e c ; SEPARATE create flagon	mug : p ; flask : v p p ; canister : c e c ; flagon : _ ;
canister : p ; pitcher : r r g ; decanter : y y ; thermos : h f ; SEPARATE double pitcher	canister : p ; pitcher : r r g r r g ; decanter : y y ; thermos : h f ;
jar : a g a f g ; vessel : r ; flask : r d r d ; bottle : r ; SEPARATE filter jar	jar : a a g g f ; vessel : r ; flask : r d r d ; bottle : r ;
jar : r r ; cup : y y f p ; bottle : o r a a r o ; thermos : d d b b ; SEPARATE filter bottle	jar : r r ; cup : y y f p ; bottle : o o r r a a ; thermos : d d b b ;
jar : d a d a ; burette : h h ; decanter : y d e ; urn : m m ; SEPARATE filter urn	jar : d a d a ; burette : h h ; decanter : y d e ; urn : m m ;
thermos : v o g g v ; cup : f c c f ; SEPARATE shift thermos before cup	thermos : v o g g v ; cup : f c c f ;
beaker : a a ; decanter : o h h ; SEPARATE unmix decanter	beaker : a a ; decanter : o ; decanter : h h ;
bottle : y y p ; burette : d d ; SEPARATE add three yellow to burette	bottle : y y p ; burette : d d y y y ;
thermos : b e o e b ; vessel : d d ; SEPARATE add three yellow to thermos	thermos : b e o e b y y y ; vessel : d d ;
flask : d o o ; canister : d ; SEPARATE empty canister	flask : d o o ; canister : _ ;
glass : f y ; jar : d r d ; SEPARATE unmix jar	glass : f y ; jar : d d ; jar : r ;
glass : h h m m ; mug : d y a y ; SEPARATE shift glass before mug	glass : h h m m ; mug : d y a y ;
beaker : b d b ; pitcher : m f m ; bottle : g c c o ; SEPARATE create urn	beaker : b d b ; pitcher : m f m ; bottle : g c c o ; urn : _ ;
glass : d ; canister : m m ; mug : o ; SEPARATE double canister	glass : d ; canister : m m m m ; mug : o ;
urn : m v m a ; glass : f o ; mug : g g ; SEPARATE double urn	urn : m v m a m v m a ; glass : f o ; mug : g g ;
thermos : c c ; mug : a v c v ; pitcher : m m ; SEPARATE add four aqua to mug	thermos : c c ; mug : a v c v a a a a ; pitcher : m m ;
canister : f r r h ; decanter : c b m ; flask : g g o v ; SEPARATE double flask	canister : f r r h ; decanter : c b m ; flask : g g o v g g o v ;
flagon : c ; pitcher : f g g y y f ; pitcher : d b r b d ; SEPARATE empty last pitcher	flagon : c ; pitcher : f g g y y f ; pitcher : _ ;
flagon : o g g ; mug : y ; SEPARATE empty mug	flagon : o g g ; mug : _ ;
urn : e ; glass : e e f ; bottle : m m g ; SEPARATE unmix glass	urn : e ; glass : e e ; glass : f ; bottle : m m g ;
burette : g ; flask : g p f ; canister : f f o o ; SEPARATE double canister	burette : g ; flask : g p f ; canister : f f o o f f o o ;
vessel : h o h g g ; jar : r e y e y ; SEPARATE shift jar before vessel	jar : r e y e y ; vessel : h o h g g ;
glass : b b ; flask : r ; beaker : r r ; glass : g e o g ; SEPARATE add five fuchsia to flask	glass : b b ; flask : r f f f f f ; beaker : r r ; glass : g e o g ;
burette : f f m ; decanter : y b b ; vessel : y o o y ; SEPARATE add six harlequin to decanter	burette : f f m ; decanter : y b b h h h h h h ; vessel : y o o y ;
urn : a g o a o ; vessel : h b p b p ; SEPARATE create burette	urn : a g o a o ; vessel : h b p b p ; burette : _ ;
flask : g o o ; glass : m r m r p ; SEPARATE unmix flask	flask : g ; flask : o o ; glass : m r m r p ;
jug : r a v v ; canister : v o o v ; SEPARATE unmix canister	jug : r a v v ; canister : v v ; canister : o o ;
glass : d h ; thermos : b b ; SEPARATE empty glass	glass : _ ; thermos : b b ;
canister : y p ; pitcher : f f m m ; mug : g ; decanter : f ; SEPARATE shift canister after pitcher	pitcher : f f m m ; canister : y p ; mug : g ; decanter : f ;
vessel : p p ; jug : d ; glass : p r ; bottle : r r e ; SEPARATE empty vessel	vessel : _ ; jug : d ; glass : p r ; bottle : r r e ;
cup : r ; urn : a h h ; urn : a a r r p ; flask : c e e d c ; SEPARATE shift flask before first urn	cup : r ; flask : c e e d c ; urn : a h h ; urn : a a r r p ;
pitcher : o y y ; canister : c y o ; SEPARATE unmix canister	pitcher : o y y ; canister : c ; canister : y ; canister : o ;
thermos : g g ; jug : b y b ; SEPARATE add four daffodil to thermos	thermos : g g d d d d ; jug : b y b ;
urn : o r o f f ; jar : h h ; SEPARATE unmix urn	urn : o o ; urn : r ; urn : f f ; jar : h h ;
jug : d h ; flask : g o ; SEPARATE create vessel	jug : d h ; flask : g o ; vessel : _ ;
burette : o ; flagon : f ; canister : d m m ; SEPARATE unmix burette	burette : o ; flagon : f ; canister : d m m ;
thermos : m c c m ; canister : b h ; glass : c c y a ; flask : f p p ; SEPARATE unmix flask	thermos : m c c m ; canister : b h ; glass : c c y a ; flask : f ; flask : p p ;
urn : y m ; bottle : v v ; jar : a f r f ; decanter : v b v ; SEPARATE empty urn	urn : _ ; bottle : v v ; jar : a f r f ; decanter : v b v ;
glass : d ; bottle : m d d ; flagon : e d e d ; SEPARATE shift glass after bottle	bottle : m d d ; glass : d ; flagon : e d e d ;
flask : g g ; burette : m p f f p ; flask : e h e h ; SEPARATE add four violet to last flask	flask : g g ; burette : m p f f p ; flask : e h e h v v v v ;
